Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
1053(744)
PC12_Cell_Differentiation, 136, 10,  7,  150, 1, 3, 554572, 19560.74, 0, 0.00, 1: 73; 2: 31; 3: 5; 
PC12_Cell_Differentiation, 548,  6, 11,  150, 1, 3, 525318, 19560.74, 0, 0.00, 1: 72; 2: 33; 3: 4; 
PC12_Cell_Differentiation, 464,  8,  9,  150, 1, 3, 566182, 19560.74, 208, 0.00, 1: 70; 2: 37; 3: 2; 
PC12_Cell_Differentiation,  26,  7, 10,  150, 1, 3, 554482, 19560.74, 123, 0.00, 1: 71; 2: 35; 3: 3; 
PC12_Cell_Differentiation, 791,  6, 12,  150, 1, 3, 566284, 19560.74, 0, 0.00, 1: 74; 2: 29; 3: 6; 
PC12_Cell_Differentiation, 858,  8,  9,  150, 1, 3, 566195, 19560.74, 123, 0.00, 1: 71; 2: 35; 3: 3; 
PC12_Cell_Differentiation, 874,  6, 11,  150, 1, 3, 525289, 19560.74, 84, 0.00, 1: 72; 2: 33; 3: 4; 
PC12_Cell_Differentiation, 249,  6, 12,  150, 1, 3, 566253, 19560.74, 0, 0.00, 1: 73; 2: 31; 3: 5; 
PC12_Cell_Differentiation, 838,  6, 12,  150, 1, 3, 566242, 19560.74, 0, 0.00, 1: 72; 2: 33; 3: 4; 
PC12_Cell_Differentiation, 995,  6, 12,  150, 1, 3, 566393, 19560.74, 0, 0.00, 1: 72; 2: 33; 3: 4; 
PC12_Cell_Differentiation, 339,  8,  9,  150, 1, 3, 566205, 19560.74, 33, 0.00, 1: 72; 2: 33; 3: 4; 
PC12_Cell_Differentiation, 294,  6, 11,  150, 1, 3, 525282, 19560.74, 0, 0.00, 1: 70; 2: 37; 3: 2; 
PC12_Cell_Differentiation, 363,  8,  9,  150, 1, 3, 566223, 19560.74, 71, 0.00, 1: 71; 2: 35; 3: 3; 
PC12_Cell_Differentiation, 468,  5, 14,  150, 1, 3, 554488, 19560.74, 128, 0.00, 1: 71; 2: 35; 3: 3; 
PC12_Cell_Differentiation,  40,  5, 14,  150, 1, 3, 554334, 19560.74, 32, 0.00, 1: 71; 2: 35; 3: 3; 
PC12_Cell_Differentiation, 699,  7, 10,  150, 1, 3, 554302, 19560.74, 0, 0.00, 1: 71; 2: 35; 3: 3; 
PC12_Cell_Differentiation, 561,  6, 12,  151, 1, 3, 566461, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 321,  7, 10,  151, 1, 3, 554336, 19560.74, 228, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 738,  8,  9,  151, 1, 3, 566217, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 560,  8,  9,  151, 1, 3, 566056, 19560.74, 21, 0.00, 1: 74; 2: 28; 3: 7; 
PC12_Cell_Differentiation, 740,  8,  9,  151, 1, 3, 566166, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 737,  8,  9,  151, 1, 3, 566382, 19560.74, 0, 0.00, 1: 69; 2: 38; 3: 2; 
PC12_Cell_Differentiation, 128,  7, 10,  151, 1, 3, 554437, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 175, 10,  7,  151, 1, 3, 554349, 19560.74, 0, 0.00, 1: 73; 2: 30; 3: 6; 
PC12_Cell_Differentiation, 324, 10,  7,  151, 1, 3, 554171, 19560.74, 128, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 326, 11,  6,  151, 1, 3, 525283, 19560.74, 0, 0.00, 1: 69; 2: 38; 3: 2; 
PC12_Cell_Differentiation, 127, 11,  6,  151, 1, 3, 525274, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 126, 10,  7,  151, 1, 3, 554376, 19560.74, 0, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 330,  6, 12,  151, 1, 3, 566393, 19560.74, 122, 0.00, 1: 68; 2: 40; 3: 1; 
PC12_Cell_Differentiation, 817,  8,  9,  151, 1, 3, 566291, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 818,  8,  9,  151, 1, 3, 566191, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 374,  5, 13,  151, 1, 3, 515840, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 114,  8,  9,  151, 1, 3, 566247, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 107, 10,  7,  151, 1, 3, 554464, 19560.74, 49, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 948,  6, 12,  151, 1, 3, 566295, 19560.74, 58, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 898,  8,  9,  151, 1, 3, 566367, 19560.74, 123, 0.00, 1: 73; 2: 30; 3: 6; 
PC12_Cell_Differentiation, 444,  6, 12,  151, 1, 3, 566259, 19560.74, 128, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 231, 10,  7,  151, 1, 3, 554437, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 465,  5, 14,  151, 1, 3, 554255, 19560.74, 118, 0.00, 1: 73; 2: 30; 3: 6; 
PC12_Cell_Differentiation, 498, 11,  6,  151, 1, 3, 525271, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 201, 10,  7,  151, 1, 3, 554398, 19560.74, 114, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 507, 10,  7,  151, 1, 3, 554367, 19560.74, 0, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 753, 10,  7,  151, 1, 3, 554201, 19560.74, 0, 0.00, 1: 69; 2: 38; 3: 2; 
PC12_Cell_Differentiation, 193,  6, 12,  151, 1, 3, 566423, 19560.74, 114, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 189,  6, 11,  151, 1, 3, 525266, 19560.74, 255, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 917,  7, 10,  151, 1, 3, 554174, 19560.74, 85, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 778,  8,  9,  151, 1, 3, 566369, 19560.74, 122, 0.00, 1: 69; 2: 38; 3: 2; 
PC12_Cell_Differentiation, 180,  7, 10,  151, 1, 3, 554407, 19560.74, 28, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 389, 11,  6,  151, 1, 3, 525305, 19560.74, 0, 0.00, 1: 69; 2: 38; 3: 2; 
PC12_Cell_Differentiation, 264, 11,  6,  151, 1, 3, 525304, 19560.74, 0, 0.00, 1: 73; 2: 30; 3: 6; 
PC12_Cell_Differentiation, 278,  6, 12,  151, 1, 3, 566141, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 862, 10,  7,  151, 1, 3, 554507, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 539, 10,  7,  151, 1, 3, 554539, 19560.74, 33, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 283,  6, 12,  151, 1, 3, 566101, 19560.74, 33, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 285, 10,  7,  151, 1, 3, 554475, 19560.74, 85, 0.00, 1: 69; 2: 38; 3: 2; 
PC12_Cell_Differentiation, 857, 10,  7,  151, 1, 3, 554173, 19560.74, 201, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 547,  8,  9,  151, 1, 3, 566122, 19560.74, 0, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 554,  6, 12,  151, 1, 3, 566342, 19560.74, 97, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 933,  6, 12,  151, 1, 3, 566258, 19560.74, 0, 0.00, 1: 74; 2: 28; 3: 7; 
PC12_Cell_Differentiation,  53, 10,  7,  151, 1, 3, 554299, 19560.74, 0, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation,  93, 10,  7,  151, 1, 3, 554364, 19560.74, 85, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 620, 10,  7,  151, 1, 3, 554390, 19560.74, 32, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 973,  8,  8,  151, 1, 3, 508032, 19560.74, 85, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation,  16, 11,  6,  151, 1, 3, 525305, 19560.74, 64, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 622, 10,  7,  151, 1, 3, 554472, 19560.74, 0, 0.00, 1: 74; 2: 28; 3: 7; 
PC12_Cell_Differentiation, 642, 10,  7,  151, 1, 3, 554212, 19560.74, 0, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation,  96,  6, 12,  151, 1, 3, 566067, 19560.74, 5, 0.00, 1: 68; 2: 40; 3: 1; 
PC12_Cell_Differentiation,  21,  7, 10,  151, 1, 3, 554397, 19560.74, 85, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 585,  8,  8,  151, 1, 3, 508032, 19560.74, 14, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 959, 10,  7,  151, 1, 3, 554595, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation,  31,  8,  9,  151, 1, 3, 566455, 19560.74, 0, 0.00, 1: 71; 2: 34; 3: 4; 
PC12_Cell_Differentiation, 657,  6, 11,  151, 1, 3, 525359, 19560.74, 0, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation,  55, 10,  7,  151, 1, 3, 554481, 19560.74, 0, 0.00, 1: 73; 2: 30; 3: 6; 
PC12_Cell_Differentiation, 970,  6, 12,  151, 1, 3, 565893, 19560.74, 123, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation, 693,  7, 10,  151, 1, 3, 554421, 19560.74, 0, 0.00, 1: 72; 2: 32; 3: 5; 
PC12_Cell_Differentiation,  84,  7, 10,  151, 1, 3, 554154, 19560.74, 128, 0.00, 1: 70; 2: 36; 3: 3; 
PC12_Cell_Differentiation, 241,  8,  9,  152, 1, 3, 566014, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 892,  5, 14,  152, 1, 3, 554157, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 232, 10,  7,  152, 1, 3, 554344, 19560.74, 32, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 237,  6, 11,  152, 1, 3, 525276, 19560.74, 32, 0.00, 1: 68; 2: 39; 3: 2; 
PC12_Cell_Differentiation, 238,  6, 12,  152, 1, 3, 566254, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 239,  8,  9,  152, 1, 3, 565659, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 462, 11,  6,  152, 1, 3, 525311, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 469,  7, 10,  152, 1, 3, 554341, 19560.74, 85, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 977, 10,  7,  152, 1, 3, 554347, 19560.74, 193, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 631,  7, 10,  152, 1, 3, 554501, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 178, 11,  6,  152, 1, 3, 525298, 19560.74, 0, 0.00, 1: 72; 2: 31; 3: 6; 
PC12_Cell_Differentiation, 625,  8,  8,  152, 1, 3, 508032, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation,  44,  6, 12,  152, 1, 3, 566054, 19560.74, 32, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 472,  5, 13,  152, 1, 3, 515840, 19560.74, 56, 0.00, 1: 72; 2: 31; 3: 6; 
PC12_Cell_Differentiation, 897,  7, 10,  152, 1, 3, 554437, 19560.74, 193, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 619,  8,  9,  152, 1, 3, 566124, 19560.74, 71, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 971,  7, 10,  152, 1, 3, 554494, 19560.74, 33, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 209,  8,  9,  152, 1, 3, 566459, 19560.74, 114, 0.00, 1: 72; 2: 31; 3: 6; 
PC12_Cell_Differentiation, 761,  8,  9,  152, 1, 3, 566174, 19560.74, 0, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 906,  8,  8,  152, 1, 3, 508032, 19560.74, 123, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 202, 11,  6,  152, 1, 3, 525274, 19560.74, 155, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 756,  7, 10,  152, 1, 3, 554424, 19560.74, 0, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation,  54,  8,  9,  152, 1, 3, 566458, 19560.74, 0, 0.00, 1: 72; 2: 31; 3: 6; 
PC12_Cell_Differentiation, 913,  7, 10,  152, 1, 3, 554407, 19560.74, 193, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 920, 10,  7,  152, 1, 3, 554395, 19560.74, 248, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 579,  7, 10,  152, 1, 3, 554209, 19560.74, 33, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 328, 10,  7,  152, 1, 3, 554448, 19560.74, 96, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 310,  6, 12,  152, 1, 3, 566294, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 315,  6, 11,  152, 1, 3, 525292, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 395, 10,  7,  152, 1, 3, 554238, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 991, 11,  6,  152, 1, 3, 525234, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 651,  8,  9,  152, 1, 3, 566289, 19560.74, 0, 0.00, 1: 67; 2: 41; 3: 1; 
PC12_Cell_Differentiation, 386,  6, 12,  152, 1, 3, 565954, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 325,  8,  9,  152, 1, 3, 566165, 19560.74, 85, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation,  11,  6, 12,  152, 1, 3, 566103, 19560.74, 62, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 413,  7, 10,  152, 1, 3, 554480, 19560.74, 85, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 385,  7, 10,  152, 1, 3, 554358, 19560.74, 0, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 333,  5, 14,  152, 1, 3, 554425, 19560.74, 85, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation,   8, 10,  7,  152, 1, 3, 554383, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation,   4,  6, 11,  152, 1, 3, 525307, 19560.74, 19, 0.00, 1: 68; 2: 39; 3: 2; 
PC12_Cell_Differentiation, 375,  7, 10,  152, 1, 3, 554597, 19560.74, 0, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 822,  6, 12,  152, 1, 3, 566145, 19560.74, 0, 0.00, 1: 72; 2: 31; 3: 6; 
PC12_Cell_Differentiation, 372, 10,  7,  152, 1, 3, 554354, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 780,  7, 10,  152, 1, 3, 554551, 19560.74, 128, 0.00, 1: 69; 2: 37; 3: 3; 
