Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(246)
Melhor resultado nxn: HGF_Signaling_in_Keratinocytes, 115,  6, 13,  128, 1, 2, 612273, 16245.83, 0, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 170,  7, 10,  132, 1, 2, 557624, 16245.83, 84, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 920,  6, 12,  133, 1, 2, 571073, 16245.83, 120, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 879,  9,  8,  133, 1, 2, 571176, 16245.83, 82, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 374,  7, 11,  133, 1, 2, 606872, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 927,  8,  9,  133, 1, 2, 571131, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 861,  9,  8,  133, 1, 2, 571079, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes,  21,  9,  8,  133, 1, 2, 571287, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 541,  9,  8,  133, 1, 2, 571182, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 985,  6, 12,  133, 1, 2, 571145, 16245.83, 215, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 181,  9,  8,  133, 1, 2, 571269, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 376, 10,  7,  133, 1, 2, 557655, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 314, 10,  7,  133, 1, 2, 557665, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 100,  7, 11,  133, 1, 2, 606815, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 285,  6, 12,  133, 1, 2, 571165, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 111,  6, 13,  133, 1, 2, 612556, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 273,  6, 12,  133, 1, 2, 571238, 16245.83, 46, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 524,  9,  8,  133, 1, 2, 571020, 16245.83, 204, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 274,  6, 13,  133, 1, 2, 612274, 16245.83, 62, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 561, 10,  7,  133, 1, 2, 557608, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 802,  6, 12,  133, 1, 2, 571282, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 570,  8,  9,  133, 1, 2, 571192, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 565,  6, 13,  133, 1, 2, 612219, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 447,  7, 10,  133, 1, 2, 557643, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 807,  8,  9,  133, 1, 2, 571126, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 964,  5, 15,  133, 1, 2, 592255, 16245.83, 204, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 400,  6, 13,  133, 1, 2, 612422, 16245.83, 160, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 871,  6, 13,  133, 1, 2, 612152, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 818, 10,  7,  133, 1, 2, 557634, 16245.83, 255, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 709,  6, 13,  134, 1, 2, 611992, 16245.83, 85, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 513,  9,  8,  134, 1, 2, 571155, 16245.83, 187, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 214,  8,  9,  134, 1, 2, 571233, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 567,  7, 11,  134, 1, 2, 607088, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  44,  8,  9,  134, 1, 2, 571181, 16245.83, 80, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 172,  7, 11,  134, 1, 2, 606747, 16245.83, 50, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  96,  6, 12,  134, 1, 2, 571019, 16245.83, 5, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 544,  7, 11,  134, 1, 2, 606932, 16245.83, 8, 0.00, 1: 72; 2: 31; 
