Seed 1656949570
ARCH 1|F_ID 3|LIMIT 5
before: 
23(185)
T-LGL_Survival_Network_2011, 355,  9,  7,  324, 1, 3, 499246, 81311.16, 0, 0.00, 1: 94; 2: 73; 3: 28; 
T-LGL_Survival_Network_2011, 821,  9,  7,  324, 1, 3, 499254, 81311.16, 0, 0.00, 1: 96; 2: 69; 3: 30; 
T-LGL_Survival_Network_2011, 136,  9,  7,  325, 1, 3, 499315, 81311.16, 1, 0.00, 1: 95; 2: 70; 3: 30; 
T-LGL_Survival_Network_2011, 946,  7,  9,  325, 1, 3, 499196, 81311.16, 0, 0.00, 1: 93; 2: 74; 3: 28; 
T-LGL_Survival_Network_2011, 724,  9,  7,  325, 1, 3, 499185, 81311.16, 3, 0.00, 1: 94; 2: 72; 3: 29; 
T-LGL_Survival_Network_2011, 543,  8,  8,  325, 1, 3, 506440, 81311.16, 0, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 403,  9,  7,  325, 1, 3, 499134, 81311.16, 0, 0.00, 1: 91; 2: 78; 3: 26; 
T-LGL_Survival_Network_2011,  93,  9,  7,  325, 1, 3, 499256, 81311.16, 0, 0.00, 1: 92; 2: 76; 3: 27; 
T-LGL_Survival_Network_2011, 714,  8,  8,  325, 1, 3, 506555, 81311.16, 0, 0.00, 1: 91; 2: 78; 3: 26; 
T-LGL_Survival_Network_2011, 179,  9,  7,  325, 1, 3, 499209, 81311.16, 0, 0.00, 1: 93; 2: 74; 3: 28; 
T-LGL_Survival_Network_2011, 870,  8,  8,  325, 1, 3, 506479, 81311.16, 0, 0.00, 1: 89; 2: 82; 3: 24; 
T-LGL_Survival_Network_2011, 862,  9,  7,  325, 1, 3, 499235, 81311.16, 0, 0.00, 1: 88; 2: 84; 3: 23; 
T-LGL_Survival_Network_2011, 201,  9,  7,  325, 1, 3, 499145, 81311.16, 0, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 219,  8,  8,  325, 1, 3, 506487, 81311.16, 0, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 661,  9,  7,  325, 1, 3, 499190, 81311.16, 0, 0.00, 1: 92; 2: 76; 3: 27; 
T-LGL_Survival_Network_2011, 234,  8,  8,  325, 1, 3, 506492, 81311.16, 0, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 754,  8,  8,  325, 1, 3, 506480, 81311.16, 0, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 363,  7,  9,  325, 1, 3, 499261, 81311.16, 0, 0.00, 1: 92; 2: 76; 3: 27; 
T-LGL_Survival_Network_2011, 361,  8,  8,  325, 1, 3, 506553, 81311.16, 0, 0.00, 1: 97; 2: 66; 3: 32; 
T-LGL_Survival_Network_2011, 270,  8,  8,  325, 1, 3, 506490, 81311.16, 0, 0.00, 1: 94; 2: 72; 3: 29; 
T-LGL_Survival_Network_2011, 356,  7,  9,  325, 1, 3, 499042, 81311.16, 37, 0.00, 1: 91; 2: 78; 3: 26; 
T-LGL_Survival_Network_2011, 338,  8,  8,  325, 1, 3, 506449, 81311.16, 0, 0.00, 1: 92; 2: 76; 3: 27; 
T-LGL_Survival_Network_2011, 772,  8,  8,  325, 1, 3, 506469, 81311.16, 30, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 314,  7,  9,  325, 1, 3, 499219, 81311.16, 0, 0.00, 1: 90; 2: 80; 3: 25; 
T-LGL_Survival_Network_2011, 776,  7,  9,  325, 1, 3, 499260, 81311.16, 22, 0.00, 1: 94; 2: 72; 3: 29; 
T-LGL_Survival_Network_2011, 988,  8,  8,  325, 1, 3, 506424, 81311.16, 49, 0.00, 1: 94; 2: 72; 3: 29; 
T-LGL_Survival_Network_2011, 504,  8,  8,  325, 1, 3, 506349, 81311.16, 6, 0.00, 1: 92; 2: 76; 3: 27; 
T-LGL_Survival_Network_2011,  31,  7,  9,  325, 1, 3, 499215, 81311.16, 0, 0.00, 1: 93; 2: 74; 3: 28; 
T-LGL_Survival_Network_2011, 514,  8,  8,  325, 1, 3, 506360, 81311.16, 0, 0.00, 1: 93; 2: 74; 3: 28; 
T-LGL_Survival_Network_2011, 761,  7,  9,  326, 1, 3, 499224, 81311.16, 0, 0.00, 1: 91; 2: 77; 3: 27; 
T-LGL_Survival_Network_2011, 954,  7,  9,  326, 1, 3, 499208, 81311.16, 0, 0.00, 1: 94; 2: 71; 3: 30; 
T-LGL_Survival_Network_2011, 266,  8,  8,  326, 1, 3, 506563, 81311.16, 0, 0.00, 1: 90; 2: 79; 3: 26; 
T-LGL_Survival_Network_2011, 430,  7,  9,  326, 1, 3, 499184, 81311.16, 0, 0.00, 1: 90; 2: 79; 3: 26; 
T-LGL_Survival_Network_2011, 222,  8,  8,  326, 1, 3, 506564, 81311.16, 0, 0.00, 1: 93; 2: 73; 3: 29; 
T-LGL_Survival_Network_2011, 470,  9,  7,  326, 1, 3, 499265, 81311.16, 0, 0.00, 1: 91; 2: 77; 3: 27; 
T-LGL_Survival_Network_2011, 715,  8,  8,  326, 1, 3, 506620, 81311.16, 0, 0.00, 1: 89; 2: 81; 3: 25; 
T-LGL_Survival_Network_2011, 517,  8,  8,  326, 1, 3, 506532, 81311.16, 0, 0.00, 1: 88; 2: 83; 3: 24; 
T-LGL_Survival_Network_2011, 124,  7,  9,  326, 1, 3, 499142, 81311.16, 6, 0.00, 1: 89; 2: 81; 3: 25; 
T-LGL_Survival_Network_2011, 900,  8,  8,  326, 1, 3, 506418, 81311.16, 28, 0.00, 1: 92; 2: 75; 3: 28; 
T-LGL_Survival_Network_2011, 149,  8,  8,  326, 1, 3, 506472, 81311.16, 0, 0.00, 1: 88; 2: 83; 3: 24; 
T-LGL_Survival_Network_2011, 884,  9,  7,  326, 1, 3, 499142, 81311.16, 26, 0.00, 1: 89; 2: 81; 3: 25; 
T-LGL_Survival_Network_2011,  54,  7,  9,  326, 1, 3, 499205, 81311.16, 0, 0.00, 1: 92; 2: 75; 3: 28; 
T-LGL_Survival_Network_2011,  76,  8,  8,  326, 1, 3, 506519, 81311.16, 3, 0.00, 1: 90; 2: 79; 3: 26; 
T-LGL_Survival_Network_2011,   3,  8,  8,  326, 1, 3, 506581, 81311.16, 91, 0.00, 1: 89; 2: 81; 3: 25; 
T-LGL_Survival_Network_2011, 551,  8,  8,  326, 1, 3, 506495, 81311.16, 0, 0.00, 1: 91; 2: 77; 3: 27; 
T-LGL_Survival_Network_2011, 402,  8,  8,  327, 1, 3, 506520, 81311.16, 0, 0.00, 1: 87; 2: 84; 3: 24; 
T-LGL_Survival_Network_2011, 214,  8,  8,  327, 1, 3, 506418, 81311.16, 0, 0.00, 1: 90; 2: 78; 3: 27; 
T-LGL_Survival_Network_2011, 137,  8,  8,  327, 1, 3, 506524, 81311.16, 0, 0.00, 1: 89; 2: 80; 3: 26; 
T-LGL_Survival_Network_2011, 538,  9,  7,  327, 1, 3, 499221, 81311.16, 0, 0.00, 1: 92; 2: 74; 3: 29; 
T-LGL_Survival_Network_2011,  37,  9,  7,  327, 1, 3, 499282, 81311.16, 0, 0.00, 1: 89; 2: 80; 3: 26; 
T-LGL_Survival_Network_2011, 824,  8,  8,  327, 1, 3, 506459, 81311.16, 24, 0.00, 1: 91; 2: 76; 3: 28; 
T-LGL_Survival_Network_2011, 675,  7,  9,  327, 1, 3, 499229, 81311.16, 0, 0.00, 1: 88; 2: 82; 3: 25; 
T-LGL_Survival_Network_2011, 319,  8,  8,  327, 1, 3, 506550, 81311.16, 0, 0.00, 1: 89; 2: 80; 3: 26; 
T-LGL_Survival_Network_2011, 454,  9,  7,  327, 1, 3, 499177, 81311.16, 0, 0.00, 1: 92; 2: 74; 3: 29; 
T-LGL_Survival_Network_2011, 858,  7,  9,  327, 1, 3, 499162, 81311.16, 0, 0.00, 1: 90; 2: 78; 3: 27; 
T-LGL_Survival_Network_2011, 662,  8,  8,  327, 1, 3, 506580, 81311.16, 0, 0.00, 1: 93; 2: 72; 3: 30; 
T-LGL_Survival_Network_2011, 740,  7,  9,  327, 1, 3, 499266, 81311.16, 2, 0.00, 1: 90; 2: 78; 3: 27; 
T-LGL_Survival_Network_2011, 806,  7,  9,  327, 1, 3, 499301, 81311.16, 0, 0.00, 1: 94; 2: 70; 3: 31; 
T-LGL_Survival_Network_2011, 507,  9,  7,  327, 1, 3, 499266, 81311.16, 0, 0.00, 1: 93; 2: 72; 3: 30; 
T-LGL_Survival_Network_2011, 415,  9,  7,  328, 1, 3, 499272, 81311.16, 0, 0.00, 1: 93; 2: 71; 3: 31; 
T-LGL_Survival_Network_2011, 243,  8,  8,  328, 1, 3, 506435, 81311.16, 0, 0.00, 1: 87; 2: 83; 3: 25; 
T-LGL_Survival_Network_2011, 871,  7,  9,  328, 1, 3, 499229, 81311.16, 0, 0.00, 1: 88; 2: 81; 3: 26; 
T-LGL_Survival_Network_2011,  45,  9,  7,  328, 1, 3, 499409, 81311.16, 0, 0.00, 1: 93; 2: 71; 3: 31; 
T-LGL_Survival_Network_2011,  60,  7,  9,  328, 1, 3, 499225, 81311.16, 0, 0.00, 1: 89; 2: 79; 3: 27; 
