Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(388)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  129, 1, 2, 493057, 40740.76, 83, 0.00, 1: 77; 2: 26; 
MAPK_Cancer_Cell_Fate_Network, 672,  7,  9,  135, 1, 2, 492216, 40740.76, 15, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 299,  8,  7,  135, 1, 2, 443520, 40740.76, 111, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 560,  7,  9,  135, 1, 2, 492718, 40740.76, 17, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 137,  7,  8,  135, 1, 2, 443520, 40740.76, 68, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  135, 1, 2, 473197, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 339,  7,  9,  135, 1, 2, 493062, 40740.76, 227, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network,  78,  7,  9,  135, 1, 2, 492924, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network,  66,  5, 13,  135, 1, 2, 504480, 40740.76, 190, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 718,  6, 10,  135, 1, 2, 473014, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 806,  7,  9,  135, 1, 2, 492749, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  135, 1, 2, 492503, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 413,  6, 10,  135, 1, 2, 473481, 40740.76, 85, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 785,  7,  8,  135, 1, 2, 443520, 40740.76, 141, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 986, 10,  6,  135, 1, 2, 473530, 40740.76, 146, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network,  21,  6, 10,  135, 1, 2, 473375, 40740.76, 85, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network,  24, 10,  6,  135, 1, 2, 473457, 40740.76, 176, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 481, 10,  6,  135, 1, 2, 473491, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 645,  7,  9,  135, 1, 2, 492771, 40740.76, 85, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 807, 10,  6,  135, 1, 2, 473406, 40740.76, 0, 0.00, 1: 71; 2: 32; 
