Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
2(247)
Melhor resultado nxn: Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 665,  7,  6,   87, 1, 2, 330624, 6927.79, 169, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 774,  4, 12,   87, 1, 2, 372605, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  94,  5,  9,   87, 1, 2, 353575, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 785,  4, 12,   87, 1, 2, 372202, 6927.79, 161, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  89,  5,  9,   87, 1, 2, 353576, 6927.79, 166, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  86,  4, 12,   87, 1, 2, 371947, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 643,  9,  5,   87, 1, 2, 353528, 6927.79, 78, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 776,  5, 10,   87, 1, 2, 383975, 6927.79, 224, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 781,  6,  8,   87, 1, 2, 371929, 6927.79, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 796,  6,  7,   87, 1, 2, 330624, 6927.79, 146, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 789,  5,  9,   87, 1, 2, 352661, 6927.79, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 196,  5,  9,   87, 1, 2, 353487, 6927.79, 146, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 133,  9,  5,   87, 1, 2, 353623, 6927.79, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 880,  7,  6,   87, 1, 2, 330624, 6927.79, 34, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 818,  5,  9,   87, 1, 2, 353260, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 103,  4, 12,   87, 1, 2, 371703, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 879,  6,  8,   87, 1, 2, 371848, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 710,  6,  7,   87, 1, 2, 330624, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 873,  4, 11,   87, 1, 2, 346004, 6927.79, 67, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 864,  4, 11,   87, 1, 2, 346069, 6927.79, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 110,  6,  8,   87, 1, 2, 372002, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 867,  5,  9,   87, 1, 2, 353480, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 726,  6,  8,   87, 1, 2, 372391, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 511,  6,  7,   87, 1, 2, 330624, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 976,  5, 10,   87, 1, 2, 384573, 6927.79, 176, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  61,  7,  6,   87, 1, 2, 330624, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 324,  6,  7,   87, 1, 2, 330624, 6927.79, 146, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 564,  6,  8,   87, 1, 2, 372452, 6927.79, 255, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 388,  6,  8,   87, 1, 2, 372289, 6927.79, 146, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 330,  9,  5,   87, 1, 2, 353319, 6927.79, 50, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  19,  6,  7,   87, 1, 2, 330624, 6927.79, 78, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 490,  6,  7,   87, 1, 2, 330624, 6927.79, 97, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 943,  5, 10,   87, 1, 2, 384257, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 569,  6,  7,   87, 1, 2, 330624, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 538,  7,  6,   87, 1, 2, 330624, 6927.79, 50, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 948,  4, 12,   87, 1, 2, 372240, 6927.79, 16, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 532,  9,  5,   87, 1, 2, 353386, 6927.79, 146, 0.00, 1: 59; 2: 14; 
