Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
22(268)
Melhor resultado nxn: Yeast_Apoptosis, 748,  9,  9,  145, 1, 2, 639288, 47850.29, 51, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 876,  9,  9,  150, 1, 2, 639104, 47850.29, 67, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 673,  8, 10,  150, 1, 2, 633969, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 422, 11,  7,  150, 1, 2, 613178, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 692,  7, 12,  150, 1, 2, 658438, 47850.29, 51, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis,  27,  9,  9,  150, 1, 2, 638874, 47850.29, 194, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 429,  8, 10,  150, 1, 2, 634020, 47850.29, 116, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 373,  7, 11,  150, 1, 2, 613158, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 123,  8, 10,  150, 1, 2, 634255, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 735,  7, 11,  150, 1, 2, 613287, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 657,  9,  9,  150, 1, 2, 639366, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 371,  9,  9,  150, 1, 2, 639082, 47850.29, 32, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis,  41,  7, 12,  150, 1, 2, 658577, 47850.29, 65, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 442,  8, 10,  150, 1, 2, 634126, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 336,  7, 11,  150, 1, 2, 613156, 47850.29, 192, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 948,  7, 12,  150, 1, 2, 658714, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 938, 11,  7,  150, 1, 2, 613356, 47850.29, 121, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 109,  8, 10,  150, 1, 2, 633870, 47850.29, 45, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 591,  7, 12,  150, 1, 2, 658821, 47850.29, 0, 0.00, 1: 74; 2: 38; 
Yeast_Apoptosis, 807,  9,  9,  151, 1, 2, 639189, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 505, 10,  8,  151, 1, 2, 634190, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 153, 10,  8,  151, 1, 2, 634225, 47850.29, 35, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 623, 10,  8,  151, 1, 2, 634001, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 215, 10,  8,  151, 1, 2, 634145, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 871,  6, 13,  151, 1, 2, 619447, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 593,  7, 12,  151, 1, 2, 658267, 47850.29, 130, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 541, 10,  8,  151, 1, 2, 634147, 47850.29, 85, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 880,  7, 12,  151, 1, 2, 658778, 47850.29, 84, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 960,  7, 12,  151, 1, 2, 658584, 47850.29, 224, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 113,  8, 10,  151, 1, 2, 634065, 47850.29, 32, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 601,  6, 14,  151, 1, 2, 658552, 47850.29, 25, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 744,  6, 14,  151, 1, 2, 658684, 47850.29, 32, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 727,  7, 12,  151, 1, 2, 658503, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 691,  8, 10,  151, 1, 2, 634165, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 790, 10,  8,  151, 1, 2, 633951, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 434, 10,  8,  151, 1, 2, 634211, 47850.29, 32, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 653,  9,  9,  151, 1, 2, 639082, 47850.29, 85, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 791,  6, 14,  151, 1, 2, 658703, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 455, 10,  8,  151, 1, 2, 634080, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 319,  9,  9,  151, 1, 2, 638987, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 648,  9,  9,  151, 1, 2, 639229, 47850.29, 144, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 315,  9,  9,  151, 1, 2, 638784, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 666,  7, 12,  151, 1, 2, 658824, 47850.29, 29, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 302,  6, 14,  151, 1, 2, 658963, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 369, 10,  8,  151, 1, 2, 634045, 47850.29, 105, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis,  14,  7, 11,  151, 1, 2, 613281, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 493, 10,  8,  151, 1, 2, 634214, 47850.29, 32, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis,   3,  6, 13,  151, 1, 2, 619479, 47850.29, 15, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 812,  7, 12,  151, 1, 2, 658384, 47850.29, 32, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 676,  7, 12,  151, 1, 2, 658820, 47850.29, 0, 0.00, 1: 73; 2: 39; 
Yeast_Apoptosis, 122,  7, 12,  152, 1, 2, 659191, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 924, 10,  8,  152, 1, 2, 633980, 47850.29, 92, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 150,  7, 12,  152, 1, 2, 658952, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 389,  7, 12,  152, 1, 2, 658997, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 896, 10,  8,  152, 1, 2, 633867, 47850.29, 160, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 718,  8, 10,  152, 1, 2, 634211, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 913,  6, 13,  152, 1, 2, 619794, 47850.29, 255, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis,   6,  9,  9,  152, 1, 2, 639323, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 355,  6, 14,  152, 1, 2, 658757, 47850.29, 0, 0.00, 1: 72; 2: 40; 
