Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 969,  8,  8,  466, 0, 6, 506342, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 45; 3: 38; 4: 24; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 586,  9,  7,  467, 0, 6, 499215, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 46; 3: 31; 4: 30; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 920,  9,  7,  467, 0, 6, 499175, 26569.10, 27, 0.00, 0: 5; 1: 61; 2: 49; 3: 33; 4: 29; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 320,  7,  9,  467, 0, 6, 499186, 26569.10, 1, 0.00, 0: 5; 1: 66; 2: 41; 3: 36; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 329,  7,  9,  467, 0, 6, 499201, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 48; 3: 31; 4: 28; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011,  62,  9,  7,  467, 0, 6, 499205, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 45; 3: 32; 4: 29; 5: 14; 6: 5; 
T-LGL_Survival_Network_2011, 164,  7,  9,  467, 0, 6, 499209, 26569.10, 23, 0.00, 0: 5; 1: 62; 2: 46; 3: 38; 4: 24; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011,  46,  7,  9,  467, 0, 6, 499192, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 50; 3: 32; 4: 24; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 514,  8,  8,  467, 0, 6, 506536, 26569.10, 0, 0.00, 0: 5; 1: 60; 2: 48; 3: 40; 4: 22; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011,  22,  8,  8,  467, 0, 6, 506495, 26569.10, 0, 0.00, 0: 5; 1: 60; 2: 50; 3: 36; 4: 24; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 585,  8,  8,  467, 0, 6, 506505, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 45; 3: 30; 4: 27; 5: 19; 6: 3; 
