Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(1)
Melhor resultado nxn: IL-6_Signalling, 605, 10,  9,  218, 1, 2, 720237, 22817.25, 0, 0.00, 1: 80; 2: 69; 
IL-6_Signalling, 262, 10,  9,  213, 1, 3, 720388, 22817.25, 0, 0.00, 1: 91; 2: 52; 3: 6; 
IL-6_Signalling, 226, 10,  9,  213, 1, 3, 720377, 22817.25, 0, 0.00, 1: 91; 2: 52; 3: 6; 
IL-6_Signalling, 215,  8, 12,  213, 1, 3, 759891, 22817.25, 0, 0.00, 1: 91; 2: 52; 3: 6; 
IL-6_Signalling, 206,  9, 10,  213, 1, 3, 720440, 22817.25, 0, 0.00, 1: 91; 2: 52; 3: 6; 
IL-6_Signalling, 942,  8, 12,  213, 1, 3, 760287, 22817.25, 0, 0.00, 1: 90; 2: 54; 3: 5; 
IL-6_Signalling,   0,  8, 12,  213, 1, 3, 759881, 22817.25, 240, 0.00, 1: 88; 2: 58; 3: 3; 
IL-6_Signalling,  46,  8, 11,  213, 1, 3, 704352, 22817.25, 0, 0.00, 1: 93; 2: 48; 3: 8; 
IL-6_Signalling, 706,  9, 10,  213, 1, 3, 720365, 22817.25, 0, 0.00, 1: 88; 2: 58; 3: 3; 
IL-6_Signalling, 990,  8, 12,  214, 1, 3, 760027, 22817.25, 0, 0.00, 1: 88; 2: 57; 3: 4; 
IL-6_Signalling, 675,  8, 12,  214, 1, 3, 759920, 22817.25, 0, 0.00, 1: 89; 2: 55; 3: 5; 
IL-6_Signalling, 784,  9, 10,  214, 1, 3, 720332, 22817.25, 65, 0.00, 1: 86; 2: 61; 3: 2; 
IL-6_Signalling, 542,  8, 12,  214, 1, 3, 760206, 22817.25, 0, 0.00, 1: 87; 2: 59; 3: 3; 
IL-6_Signalling, 984,  9, 10,  214, 1, 3, 720344, 22817.25, 72, 0.00, 1: 90; 2: 53; 3: 6; 
IL-6_Signalling, 713,  9, 10,  214, 1, 3, 720346, 22817.25, 0, 0.00, 1: 86; 2: 61; 3: 2; 
IL-6_Signalling, 809, 10,  9,  214, 1, 3, 720366, 22817.25, 0, 0.00, 1: 87; 2: 59; 3: 3; 
IL-6_Signalling, 293,  8, 11,  214, 1, 3, 704352, 22817.25, 0, 0.00, 1: 87; 2: 59; 3: 3; 
IL-6_Signalling, 849,  8, 12,  214, 1, 3, 759879, 22817.25, 0, 0.00, 1: 88; 2: 57; 3: 4; 
