Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
582(475)
Melhor resultado nxn: PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 292,  7, 10,  146, 1, 2, 554202, 42822.98, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 830,  5, 13,  147, 1, 2, 515840, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 101,  6, 12,  147, 1, 2, 566152, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 817,  8,  9,  147, 1, 2, 566264, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 810, 11,  6,  147, 1, 2, 525309, 42822.98, 82, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 181,  7, 10,  147, 1, 2, 554272, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 697,  5, 13,  147, 1, 2, 515840, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 175, 10,  7,  147, 1, 2, 554117, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 166, 11,  6,  147, 1, 2, 525330, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 723, 11,  6,  147, 1, 2, 525217, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 776,  8,  9,  147, 1, 2, 566141, 42822.98, 144, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 775, 11,  6,  147, 1, 2, 525300, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 764, 11,  6,  147, 1, 2, 525241, 42822.98, 1, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 743, 11,  6,  147, 1, 2, 525278, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 143,  7, 10,  147, 1, 2, 554255, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 234,  8,  8,  147, 1, 2, 508032, 42822.98, 84, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 153, 10,  7,  147, 1, 2, 554192, 42822.98, 134, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 410,  6, 11,  147, 1, 2, 525285, 42822.98, 115, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 307,  6, 11,  147, 1, 2, 525220, 42822.98, 0, 0.00, 1: 71; 2: 38; 
