Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
384(995)
Melhor resultado nxn: PC12_Cell_Differentiation,   7,  8,  8,  203, 1, 4, 508032, 43469.13, 0, 0.00, 1: 45; 2: 40; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 710, 10,  7,  203, 1, 4, 554413, 43469.13, 0, 0.00, 1: 45; 2: 39; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 119,  7, 10,  203, 1, 4, 554402, 43469.13, 0, 0.00, 1: 48; 2: 33; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 586, 10,  7,  203, 1, 4, 554424, 43469.13, 176, 0.00, 1: 47; 2: 34; 3: 24; 4: 4; 
PC12_Cell_Differentiation,  96,  6, 12,  203, 1, 4, 566231, 43469.13, 5, 0.00, 1: 47; 2: 33; 3: 26; 4: 3; 
PC12_Cell_Differentiation, 794,  7, 10,  203, 1, 4, 554348, 43469.13, 177, 0.00, 1: 44; 2: 40; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 991, 11,  6,  203, 1, 4, 525290, 43469.13, 0, 0.00, 1: 46; 2: 37; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 457,  7, 10,  203, 1, 4, 554359, 43469.13, 230, 0.00, 1: 43; 2: 40; 3: 24; 4: 2; 
PC12_Cell_Differentiation, 752, 10,  7,  203, 1, 4, 554441, 43469.13, 0, 0.00, 1: 44; 2: 39; 3: 23; 4: 3; 
PC12_Cell_Differentiation,  93, 10,  7,  203, 1, 4, 554455, 43469.13, 85, 0.00, 1: 44; 2: 40; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 643,  7, 10,  203, 1, 4, 554416, 43469.13, 0, 0.00, 1: 43; 2: 40; 3: 24; 4: 2; 
PC12_Cell_Differentiation, 279,  8,  9,  203, 1, 4, 566184, 43469.13, 0, 0.00, 1: 42; 2: 42; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 741,  7, 10,  203, 1, 4, 554463, 43469.13, 0, 0.00, 1: 50; 2: 32; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 321,  7, 10,  204, 1, 4, 554599, 43469.13, 84, 0.00, 1: 44; 2: 36; 3: 28; 4: 1; 
PC12_Cell_Differentiation,   0,  7, 10,  204, 1, 4, 554523, 43469.13, 0, 0.00, 1: 43; 2: 39; 3: 25; 4: 2; 
PC12_Cell_Differentiation, 540,  8,  9,  204, 1, 4, 566264, 43469.13, 130, 0.00, 1: 45; 2: 37; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 857, 10,  7,  204, 1, 4, 554344, 43469.13, 57, 0.00, 1: 47; 2: 35; 3: 21; 4: 6; 
PC12_Cell_Differentiation, 148,  7, 10,  204, 1, 4, 554322, 43469.13, 0, 0.00, 1: 41; 2: 42; 3: 25; 4: 1; 
PC12_Cell_Differentiation, 668,  6, 12,  204, 1, 4, 566281, 43469.13, 130, 0.00, 1: 45; 2: 35; 3: 27; 4: 2; 
PC12_Cell_Differentiation,  84,  7, 10,  204, 1, 4, 554396, 43469.13, 130, 0.00, 1: 46; 2: 34; 3: 26; 4: 3; 
PC12_Cell_Differentiation, 845,  6, 12,  204, 1, 4, 566440, 43469.13, 85, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 133,  8,  9,  204, 1, 4, 566289, 43469.13, 0, 0.00, 1: 45; 2: 37; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 413,  7, 10,  204, 1, 4, 554516, 43469.13, 85, 0.00, 1: 46; 2: 36; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 375,  7, 10,  204, 1, 4, 554404, 43469.13, 0, 0.00, 1: 44; 2: 38; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 948,  6, 12,  204, 1, 4, 566138, 43469.13, 58, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 408,  6, 12,  204, 1, 4, 566269, 43469.13, 248, 0.00, 1: 45; 2: 36; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 403, 10,  7,  204, 1, 4, 554488, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 24; 4: 2; 
PC12_Cell_Differentiation,  52, 10,  7,  204, 1, 4, 554394, 43469.13, 0, 0.00, 1: 43; 2: 38; 3: 27; 4: 1; 
PC12_Cell_Differentiation, 526, 10,  7,  204, 1, 4, 554399, 43469.13, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 170,  6, 11,  204, 1, 4, 525267, 43469.13, 82, 0.00, 1: 44; 2: 38; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 916, 10,  7,  204, 1, 4, 554431, 43469.13, 130, 0.00, 1: 45; 2: 37; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 476, 10,  7,  204, 1, 4, 554516, 43469.13, 130, 0.00, 1: 42; 2: 41; 3: 24; 4: 2; 
PC12_Cell_Differentiation, 300,  6, 12,  204, 1, 4, 566267, 43469.13, 50, 0.00, 1: 43; 2: 42; 3: 19; 4: 5; 
PC12_Cell_Differentiation, 651,  8,  9,  204, 1, 4, 566288, 43469.13, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 272, 10,  7,  204, 1, 4, 554339, 43469.13, 0, 0.00, 1: 44; 2: 36; 3: 28; 4: 1; 
PC12_Cell_Differentiation, 312,  6, 11,  204, 1, 4, 525277, 43469.13, 0, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation,  30,  8,  8,  204, 1, 4, 508032, 43469.13, 0, 0.00, 1: 43; 2: 41; 3: 21; 4: 4; 
PC12_Cell_Differentiation,  50, 10,  7,  204, 1, 4, 554390, 43469.13, 0, 0.00, 1: 44; 2: 37; 3: 26; 4: 2; 
PC12_Cell_Differentiation, 226,  6, 12,  204, 1, 4, 566011, 43469.13, 0, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 493,  8,  9,  204, 1, 4, 566348, 43469.13, 32, 0.00, 1: 44; 2: 38; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 504,  8,  8,  204, 1, 4, 508032, 43469.13, 0, 0.00, 1: 44; 2: 41; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 742,  7, 10,  204, 1, 4, 554406, 43469.13, 0, 0.00, 1: 44; 2: 41; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 462, 11,  6,  204, 1, 4, 525281, 43469.13, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 318,  6, 11,  204, 1, 4, 525257, 43469.13, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 538, 10,  7,  204, 1, 4, 554343, 43469.13, 177, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 202, 11,  6,  204, 1, 4, 525284, 43469.13, 208, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 719,  8,  9,  204, 1, 4, 566313, 43469.13, 0, 0.00, 1: 44; 2: 38; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 642, 10,  7,  204, 1, 4, 554322, 43469.13, 0, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 837,  7, 10,  205, 1, 4, 554424, 43469.13, 85, 0.00, 1: 45; 2: 35; 3: 26; 4: 3; 
PC12_Cell_Differentiation, 640,  6, 11,  205, 1, 4, 525278, 43469.13, 0, 0.00, 1: 44; 2: 37; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 376, 10,  7,  205, 1, 4, 554424, 43469.13, 0, 0.00, 1: 43; 2: 39; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 136, 10,  7,  205, 1, 4, 554396, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 258,  7, 10,  205, 1, 4, 554395, 43469.13, 0, 0.00, 1: 45; 2: 37; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 117, 11,  6,  205, 1, 4, 525237, 43469.13, 0, 0.00, 1: 45; 2: 37; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 114,  8,  9,  205, 1, 4, 566224, 43469.13, 0, 0.00, 1: 42; 2: 42; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 829,  8,  9,  205, 1, 4, 566308, 43469.13, 0, 0.00, 1: 46; 2: 33; 3: 27; 4: 3; 
PC12_Cell_Differentiation, 112,  8,  9,  205, 1, 4, 566257, 43469.13, 28, 0.00, 1: 44; 2: 37; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 750,  6, 12,  205, 1, 4, 566386, 43469.13, 0, 0.00, 1: 46; 2: 33; 3: 27; 4: 3; 
PC12_Cell_Differentiation, 645,  8,  9,  205, 1, 4, 566277, 43469.13, 0, 0.00, 1: 43; 2: 42; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 288,  6, 12,  205, 1, 4, 566079, 43469.13, 6, 0.00, 1: 43; 2: 42; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 847, 11,  6,  205, 1, 4, 525243, 43469.13, 0, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 659, 11,  6,  205, 1, 4, 525291, 43469.13, 0, 0.00, 1: 43; 2: 40; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 304, 10,  7,  205, 1, 4, 554308, 43469.13, 0, 0.00, 1: 42; 2: 40; 3: 25; 4: 2; 
PC12_Cell_Differentiation, 850, 11,  6,  205, 1, 4, 525254, 43469.13, 177, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 345,  7, 10,  205, 1, 4, 554446, 43469.13, 55, 0.00, 1: 43; 2: 39; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 176,  6, 12,  205, 1, 4, 566303, 43469.13, 46, 0.00, 1: 45; 2: 36; 3: 24; 4: 4; 
PC12_Cell_Differentiation, 734,  6, 11,  205, 1, 4, 525308, 43469.13, 0, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 159, 11,  6,  205, 1, 4, 525279, 43469.13, 0, 0.00, 1: 44; 2: 39; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 165,  7, 10,  205, 1, 4, 554431, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 328, 10,  7,  205, 1, 4, 554341, 43469.13, 96, 0.00, 1: 46; 2: 32; 3: 29; 4: 2; 
PC12_Cell_Differentiation, 320,  8,  9,  205, 1, 4, 566264, 43469.13, 80, 0.00, 1: 46; 2: 35; 3: 23; 4: 5; 
PC12_Cell_Differentiation,  36,  8,  8,  205, 1, 4, 508032, 43469.13, 0, 0.00, 1: 43; 2: 39; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 958,  6, 12,  205, 1, 4, 566310, 43469.13, 0, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation,  88, 10,  7,  205, 1, 4, 554315, 43469.13, 184, 0.00, 1: 42; 2: 42; 3: 21; 4: 4; 
PC12_Cell_Differentiation,  87,  8,  9,  205, 1, 4, 566143, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 961,  7, 10,  205, 1, 4, 554395, 43469.13, 49, 0.00, 1: 41; 2: 41; 3: 26; 4: 1; 
PC12_Cell_Differentiation, 788,  6, 12,  205, 1, 4, 566287, 43469.13, 130, 0.00, 1: 43; 2: 40; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 426,  8,  9,  205, 1, 4, 566285, 43469.13, 73, 0.00, 1: 41; 2: 43; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 486, 11,  6,  205, 1, 4, 525272, 43469.13, 0, 0.00, 1: 42; 2: 43; 3: 19; 4: 5; 
PC12_Cell_Differentiation, 432,  6, 11,  205, 1, 4, 525239, 43469.13, 0, 0.00, 1: 43; 2: 42; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 729,  6, 12,  205, 1, 4, 566321, 43469.13, 57, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 528,  6, 11,  205, 1, 4, 525288, 43469.13, 128, 0.00, 1: 44; 2: 39; 3: 21; 4: 5; 
PC12_Cell_Differentiation,  71,  8,  9,  205, 1, 4, 566221, 43469.13, 0, 0.00, 1: 42; 2: 40; 3: 25; 4: 2; 
PC12_Cell_Differentiation, 539, 10,  7,  205, 1, 4, 554297, 43469.13, 38, 0.00, 1: 42; 2: 42; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 530,  6, 12,  205, 1, 4, 566227, 43469.13, 176, 0.00, 1: 46; 2: 34; 3: 25; 4: 4; 
PC12_Cell_Differentiation, 531,  6, 12,  205, 1, 4, 566200, 43469.13, 38, 0.00, 1: 43; 2: 39; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 726,  7, 10,  205, 1, 4, 554396, 43469.13, 0, 0.00, 1: 42; 2: 40; 3: 25; 4: 2; 
