Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
3(209)
Apoptosis_network, 992,  5, 10,  115, 1, 3, 384076, 7240.49, 6, 0.00, 1: 37; 2: 30; 3: 6; 
Apoptosis_network, 744,  6,  8,  115, 1, 3, 372028, 7240.49, 32, 0.00, 1: 36; 2: 32; 3: 5; 
Apoptosis_network, 901,  7,  6,  115, 1, 3, 330624, 7240.49, 85, 0.00, 1: 37; 2: 30; 3: 6; 
Apoptosis_network, 201,  7,  6,  115, 1, 3, 330624, 7240.49, 212, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 972,  4, 12,  116, 1, 3, 371932, 7240.49, 129, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 834,  7,  6,  116, 1, 3, 330624, 7240.49, 185, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 848,  7,  6,  116, 1, 3, 330624, 7240.49, 48, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 424,  9,  5,  116, 1, 3, 353250, 7240.49, 32, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 503,  6,  7,  116, 1, 3, 330624, 7240.49, 0, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network,  80,  6,  7,  116, 1, 3, 330624, 7240.49, 128, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 891,  5,  9,  116, 1, 3, 353216, 7240.49, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 748,  6,  7,  116, 1, 3, 330624, 7240.49, 55, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 637,  5,  9,  116, 1, 3, 353269, 7240.49, 0, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 632,  9,  5,  116, 1, 3, 353276, 7240.49, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 164,  6,  8,  116, 1, 3, 371937, 7240.49, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 828,  9,  5,  116, 1, 3, 353318, 7240.49, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 621,  6,  8,  116, 1, 3, 371976, 7240.49, 95, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 123,  5, 10,  116, 1, 3, 384057, 7240.49, 0, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 797,  6,  8,  116, 1, 3, 371772, 7240.49, 85, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 533,  6,  8,  116, 1, 3, 371830, 7240.49, 85, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 960,  6,  8,  116, 1, 3, 372095, 7240.49, 160, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 147,  5,  9,  116, 1, 3, 353327, 7240.49, 96, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 182,  5,  9,  116, 1, 3, 353320, 7240.49, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 573,  5, 10,  116, 1, 3, 383942, 7240.49, 0, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 737,  7,  6,  116, 1, 3, 330624, 7240.49, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 360,  9,  5,  116, 1, 3, 353299, 7240.49, 32, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 148,  9,  5,  117, 1, 3, 353230, 7240.49, 129, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 113,  5, 10,  117, 1, 3, 383957, 7240.49, 0, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 198,  6,  7,  117, 1, 3, 330624, 7240.49, 0, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 304,  7,  6,  117, 1, 3, 330624, 7240.49, 8, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 679,  5, 10,  117, 1, 3, 384090, 7240.49, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 666,  5, 10,  117, 1, 3, 383811, 7240.49, 185, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 766,  6,  7,  117, 1, 3, 330624, 7240.49, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network,  96,  5, 10,  117, 1, 3, 384016, 7240.49, 5, 0.00, 1: 41; 2: 20; 3: 12; 
Apoptosis_network,  94,  5,  9,  117, 1, 3, 353268, 7240.49, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 871,  9,  5,  117, 1, 3, 353265, 7240.49, 0, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 671,  5,  9,  117, 1, 3, 353264, 7240.49, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 289,  7,  6,  117, 1, 3, 330624, 7240.49, 0, 0.00, 1: 40; 2: 22; 3: 11; 
Apoptosis_network, 614,  9,  5,  117, 1, 3, 353180, 7240.49, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 589,  6,  8,  117, 1, 3, 372094, 7240.49, 85, 0.00, 1: 37; 2: 28; 3: 8; 
