Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(500)
Melhor resultado nxn: Apoptosis_network,  40,  6,  8,   89, 1, 2, 371850, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 859,  9,  5,   92, 1, 2, 353360, 7753.06, 40, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 666,  5, 10,   92, 1, 2, 384094, 7753.06, 210, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 502,  5, 10,   92, 1, 2, 383997, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 868,  5, 10,   92, 1, 2, 384193, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 594,  6,  8,   92, 1, 2, 371625, 7753.06, 210, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 461,  9,  5,   92, 1, 2, 353277, 7753.06, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 760,  7,  6,   92, 1, 2, 330624, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 984,  5,  9,   92, 1, 2, 353441, 7753.06, 104, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 485,  5, 10,   92, 1, 2, 384336, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 276,  4, 12,   92, 1, 2, 372092, 7753.06, 125, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 353,  5,  9,   92, 1, 2, 353170, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 368,  5,  9,   92, 1, 2, 353229, 7753.06, 23, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 468,  4, 12,   92, 1, 2, 372016, 7753.06, 125, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 291,  6,  7,   92, 1, 2, 330624, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 796,  6,  7,   93, 1, 2, 330624, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 348,  9,  5,   93, 1, 2, 353187, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 121,  5,  9,   93, 1, 2, 353227, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 674,  5,  9,   93, 1, 2, 353374, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 324,  6,  7,   93, 1, 2, 330624, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 717,  5, 10,   93, 1, 2, 384010, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 743,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 684,  6,  7,   93, 1, 2, 330624, 7753.06, 54, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 336,  6,  7,   93, 1, 2, 330624, 7753.06, 128, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 927,  6,  7,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 127,  5,  9,   93, 1, 2, 353116, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 789,  5,  9,   93, 1, 2, 353248, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 329,  4, 12,   93, 1, 2, 372002, 7753.06, 174, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 215,  5, 10,   93, 1, 2, 383685, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 661,  6,  8,   93, 1, 2, 371680, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 770,  6,  8,   93, 1, 2, 372238, 7753.06, 210, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 263,  5, 10,   93, 1, 2, 383675, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 264,  7,  6,   93, 1, 2, 330624, 7753.06, 64, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 265,  6,  7,   93, 1, 2, 330624, 7753.06, 225, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 266,  5,  9,   93, 1, 2, 352813, 7753.06, 59, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 713,  5, 10,   93, 1, 2, 384374, 7753.06, 177, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 255,  5, 10,   93, 1, 2, 384162, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 248,  9,  5,   93, 1, 2, 353012, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 269,  5, 10,   93, 1, 2, 384472, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 181,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 182,  5,  9,   93, 1, 2, 353243, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 721,  6,  7,   93, 1, 2, 330624, 7753.06, 177, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 164,  6,  8,   93, 1, 2, 372268, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 724,  4, 11,   93, 1, 2, 346164, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 705,  6,  8,   93, 1, 2, 371824, 7753.06, 177, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 133,  9,  5,   93, 1, 2, 353127, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 157,  9,  5,   93, 1, 2, 353178, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 297,  6,  8,   93, 1, 2, 371816, 7753.06, 66, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 754,  5,  9,   93, 1, 2, 353076, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 190,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 192,  6,  7,   93, 1, 2, 330624, 7753.06, 208, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 975,  9,  5,   93, 1, 2, 353250, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 772,  5, 10,   93, 1, 2, 383378, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 298,  5,  9,   93, 1, 2, 353061, 7753.06, 65, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 302,  5, 10,   93, 1, 2, 383997, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 695,  6,  8,   93, 1, 2, 371528, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 693,  5,  9,   93, 1, 2, 353223, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 218,  9,  5,   93, 1, 2, 353271, 7753.06, 210, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 692,  4, 12,   93, 1, 2, 372054, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 320,  4, 11,   93, 1, 2, 346084, 7753.06, 112, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  33,  5, 10,   93, 1, 2, 383963, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  74,  5, 10,   93, 1, 2, 383278, 7753.06, 60, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 912,  7,  6,   93, 1, 2, 330624, 7753.06, 112, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 433,  5, 10,   93, 1, 2, 384225, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 435,  9,  5,   93, 1, 2, 353139, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  62,  6,  8,   93, 1, 2, 371697, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 441,  5, 10,   93, 1, 2, 384125, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 599,  9,  5,   93, 1, 2, 353318, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 111,  5,  9,   93, 1, 2, 353124, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 464,  4, 11,   93, 1, 2, 345806, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 467,  6,  8,   93, 1, 2, 371972, 7753.06, 40, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 589,  6,  8,   93, 1, 2, 372270, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 470,  6,  8,   93, 1, 2, 371764, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 473,  6,  7,   93, 1, 2, 330624, 7753.06, 184, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  50,  9,  5,   93, 1, 2, 353258, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 583,  9,  5,   93, 1, 2, 353318, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 582,  5,  9,   93, 1, 2, 353113, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 579,  6,  8,   93, 1, 2, 371912, 7753.06, 40, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  28,  6,  8,   93, 1, 2, 371564, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 498,  6,  8,   93, 1, 2, 372026, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  20,  5,  9,   93, 1, 2, 353271, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 568,  6,  8,   93, 1, 2, 371925, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  16,  9,  5,   93, 1, 2, 353306, 7753.06, 112, 0.00, 1: 53; 2: 20; 
Apoptosis_network,   8,  5,  9,   93, 1, 2, 353505, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 533,  6,  8,   93, 1, 2, 371890, 7753.06, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 843,  9,  5,   93, 1, 2, 353248, 7753.06, 40, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 538,  7,  6,   93, 1, 2, 330624, 7753.06, 210, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 894,  5, 10,   93, 1, 2, 384161, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  79,  5, 10,   93, 1, 2, 383993, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 670,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 108,  6,  7,   93, 1, 2, 330624, 7753.06, 32, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 362,  6,  8,   93, 1, 2, 371716, 7753.06, 73, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 983,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 799,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  92,  5, 10,   93, 1, 2, 384135, 7753.06, 125, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 380,  5,  9,   93, 1, 2, 353301, 7753.06, 2, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 399,  7,  6,   93, 1, 2, 330624, 7753.06, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 874,  9,  5,   93, 1, 2, 353699, 7753.06, 97, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 400,  9,  5,   93, 1, 2, 353228, 7753.06, 64, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 720,  7,  6,   94, 1, 2, 330624, 7753.06, 64, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 862,  6,  8,   94, 1, 2, 371713, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 495,  9,  5,   94, 1, 2, 353407, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 308,  7,  6,   94, 1, 2, 330624, 7753.06, 11, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 569,  6,  7,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 273,  6,  8,   94, 1, 2, 371780, 7753.06, 225, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 244,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 242,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 240,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 238,  7,  6,   94, 1, 2, 330624, 7753.06, 32, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 339,  6,  8,   94, 1, 2, 371209, 7753.06, 40, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 663,  9,  5,   94, 1, 2, 353067, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 566,  9,  5,   94, 1, 2, 353244, 7753.06, 255, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 727,  6,  8,   94, 1, 2, 371972, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 558,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 892,  9,  5,   94, 1, 2, 353188, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 729,  7,  6,   94, 1, 2, 330624, 7753.06, 185, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 955,  9,  5,   94, 1, 2, 353235, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 957,  6,  7,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 733,  5, 10,   94, 1, 2, 384101, 7753.06, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 867,  5,  9,   94, 1, 2, 353516, 7753.06, 0, 0.00, 1: 52; 2: 21; 
