Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 505, 10,  8,  142, 1, 2, 634212, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 962,  7, 12,  142, 1, 2, 658595, 14433.87, 163, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 667,  7, 12,  142, 1, 2, 659031, 14433.87, 31, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 562,  9,  9,  142, 1, 2, 639244, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 918,  7, 12,  142, 1, 2, 658541, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 515,  8, 10,  142, 1, 2, 634081, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 686,  9,  9,  142, 1, 2, 639314, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 204, 10,  8,  142, 1, 2, 634038, 14433.87, 131, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 646,  8, 10,  142, 1, 2, 634043, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis,  27,  9,  9,  142, 1, 2, 639156, 14433.87, 31, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 736,  8, 10,  142, 1, 2, 634017, 14433.87, 6, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 367, 10,  8,  142, 1, 2, 634250, 14433.87, 101, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 976,  8, 10,  142, 1, 2, 634158, 14433.87, 240, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 188, 11,  7,  142, 1, 2, 613253, 14433.87, 131, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis,  52,  7, 11,  142, 1, 2, 612874, 14433.87, 131, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 968,  7, 11,  143, 1, 2, 613294, 14433.87, 240, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 301, 11,  7,  143, 1, 2, 613333, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 821, 10,  8,  143, 1, 2, 633745, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 588, 10,  8,  143, 1, 2, 634037, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 713,  8, 10,  143, 1, 2, 634170, 14433.87, 126, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 305,  6, 13,  143, 1, 2, 619643, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 681,  9,  9,  143, 1, 2, 639183, 14433.87, 67, 0.00, 1: 81; 2: 31; 
