Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
242(251)
Melhor resultado nxn: PC12_Cell_Differentiation, 229,  8,  8,  146, 1, 2, 508032, 15314.41, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 694,  8,  8,  147, 1, 2, 508032, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 534,  8,  9,  147, 1, 2, 566176, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 687,  7, 10,  147, 1, 2, 554126, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 128,  7, 10,  147, 1, 2, 554334, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 15314.41, 235, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 845,  6, 12,  147, 1, 2, 566139, 15314.41, 85, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 596, 10,  7,  147, 1, 2, 554377, 15314.41, 176, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 838,  6, 12,  147, 1, 2, 566438, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 837,  7, 10,  147, 1, 2, 554120, 15314.41, 85, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 162,  5, 13,  147, 1, 2, 515840, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 600,  8,  9,  147, 1, 2, 566274, 15314.41, 184, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 609,  8,  9,  147, 1, 2, 566228, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 954,  8,  9,  147, 1, 2, 565910, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,   0,  7, 10,  147, 1, 2, 554489, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 997,  8,  9,  147, 1, 2, 566051, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 992,  6, 12,  147, 1, 2, 566250, 15314.41, 5, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 990,  5, 14,  147, 1, 2, 554283, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 356,  8,  9,  147, 1, 2, 566222, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 363,  8,  9,  147, 1, 2, 566396, 15314.41, 71, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,  16, 11,  6,  147, 1, 2, 525316, 15314.41, 64, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 265, 11,  6,  147, 1, 2, 525221, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 377, 11,  6,  147, 1, 2, 525314, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 241,  8,  9,  147, 1, 2, 566412, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 239,  8,  9,  147, 1, 2, 566291, 15314.41, 0, 0.00, 1: 71; 2: 38; 
