Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
402(141)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 343,  9,  9,  203, 1, 2, 644760, 59924.28, 0, 0.00, 1: 113; 2: 45; 
Lymphopoiesis_Regulatory_Network,  73,  7, 13,  204, 1, 2, 720757, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 894, 11,  8,  204, 1, 2, 700498, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 615, 11,  8,  204, 1, 2, 700278, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 761,  7, 13,  204, 1, 2, 720779, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 882,  8, 11,  204, 1, 2, 700537, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 484,  9, 10,  204, 1, 2, 714164, 59924.28, 6, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 595, 11,  8,  204, 1, 2, 700652, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 263,  9, 10,  204, 1, 2, 714616, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 259,  9, 10,  204, 1, 2, 714227, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 932, 11,  8,  204, 1, 2, 700569, 59924.28, 18, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 106, 12,  7,  204, 1, 2, 668775, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 680,  6, 14,  204, 1, 2, 668687, 59924.28, 57, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network,  18,  9,  9,  204, 1, 2, 644760, 59924.28, 163, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 783,  8, 11,  204, 1, 2, 700533, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 660,  9, 10,  204, 1, 2, 714071, 59924.28, 68, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 544,  8, 11,  204, 1, 2, 700638, 59924.28, 44, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 374,  8, 11,  204, 1, 2, 700456, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 859,  7, 13,  204, 1, 2, 720961, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 663,  9,  9,  204, 1, 2, 644760, 59924.28, 0, 0.00, 1: 112; 2: 46; 
Lymphopoiesis_Regulatory_Network, 721, 12,  7,  205, 1, 2, 668679, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 165,  6, 15,  205, 1, 2, 714482, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 297,  9, 10,  205, 1, 2, 714374, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 498,  9, 10,  205, 1, 2, 714202, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 620,  7, 12,  205, 1, 2, 668781, 59924.28, 6, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 888,  7, 13,  205, 1, 2, 721041, 59924.28, 63, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 465, 12,  7,  205, 1, 2, 668668, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 346,  7, 13,  205, 1, 2, 720967, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 899,  8, 11,  205, 1, 2, 700550, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 360,  7, 13,  205, 1, 2, 720873, 59924.28, 19, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 354,  8, 11,  205, 1, 2, 700595, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 913,  7, 13,  205, 1, 2, 720780, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 567,  8, 11,  205, 1, 2, 700493, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 657,  9,  9,  205, 1, 2, 644760, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 987, 11,  8,  205, 1, 2, 700780, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 672,  9, 10,  205, 1, 2, 714331, 59924.28, 56, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network,  66,  9,  9,  205, 1, 2, 644760, 59924.28, 0, 0.00, 1: 111; 2: 47; 
Lymphopoiesis_Regulatory_Network, 876,  9,  9,  206, 1, 2, 644760, 59924.28, 12, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 415, 11,  8,  206, 1, 2, 700578, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 849, 12,  7,  206, 1, 2, 668782, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 786,  8, 11,  206, 1, 2, 700687, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 709,  7, 13,  206, 1, 2, 720889, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 571,  6, 16,  206, 1, 2, 748517, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 318, 12,  7,  206, 1, 2, 668797, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 507,  9, 10,  206, 1, 2, 714408, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network,  60, 11,  8,  206, 1, 2, 700094, 59924.28, 59, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 821, 11,  8,  206, 1, 2, 700312, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 716, 12,  7,  206, 1, 2, 668713, 59924.28, 72, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 766,  8, 11,  206, 1, 2, 700389, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 808,  7, 12,  206, 1, 2, 668774, 59924.28, 61, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 718,  9, 10,  206, 1, 2, 714309, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 282, 11,  8,  206, 1, 2, 700706, 59924.28, 0, 0.00, 1: 110; 2: 48; 
Lymphopoiesis_Regulatory_Network, 260,  9, 10,  207, 1, 2, 714124, 59924.28, 19, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 533,  9, 10,  207, 1, 2, 714369, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 384,  7, 12,  207, 1, 2, 668724, 59924.28, 25, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 689,  9,  9,  207, 1, 2, 644760, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 373,  8, 11,  207, 1, 2, 700561, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 559,  9,  9,  207, 1, 2, 644760, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 743,  6, 14,  207, 1, 2, 668775, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 568,  7, 12,  207, 1, 2, 668735, 59924.28, 47, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 570,  9,  9,  207, 1, 2, 644760, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 877,  7, 12,  207, 1, 2, 668735, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 310, 11,  8,  207, 1, 2, 700443, 59924.28, 0, 0.00, 1: 109; 2: 49; 
Lymphopoiesis_Regulatory_Network, 651,  6, 14,  208, 1, 2, 668796, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 805,  9,  9,  208, 1, 2, 644760, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 705, 11,  8,  208, 1, 2, 700636, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 803,  7, 12,  208, 1, 2, 668775, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 336,  8, 11,  208, 1, 2, 700494, 59924.28, 19, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 622,  9, 10,  208, 1, 2, 714505, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network,  74,  9, 10,  208, 1, 2, 714314, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 452,  6, 14,  208, 1, 2, 668767, 59924.28, 35, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 635, 11,  8,  208, 1, 2, 700686, 59924.28, 0, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 392,  9,  9,  208, 1, 2, 644760, 59924.28, 26, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network,  27,  9,  9,  208, 1, 2, 644760, 59924.28, 9, 0.00, 1: 108; 2: 50; 
Lymphopoiesis_Regulatory_Network, 750,  6, 15,  209, 1, 2, 714497, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 916,  9,  9,  209, 1, 2, 644760, 59924.28, 18, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 951, 12,  7,  209, 1, 2, 668670, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 552,  9,  9,  209, 1, 2, 644760, 59924.28, 45, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 281,  7, 12,  209, 1, 2, 668798, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 682,  7, 12,  209, 1, 2, 668718, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network,  93, 11,  8,  209, 1, 2, 700530, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 509,  7, 13,  209, 1, 2, 720965, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network,  33,  9, 10,  209, 1, 2, 713652, 59924.28, 0, 0.00, 1: 107; 2: 51; 
Lymphopoiesis_Regulatory_Network, 147,  9,  9,  210, 1, 2, 644760, 59924.28, 0, 0.00, 1: 106; 2: 52; 
Lymphopoiesis_Regulatory_Network, 831,  9,  9,  210, 1, 2, 644760, 59924.28, 0, 0.00, 1: 106; 2: 52; 
Lymphopoiesis_Regulatory_Network, 964,  6, 15,  210, 1, 2, 714592, 59924.28, 44, 0.00, 1: 106; 2: 52; 
Lymphopoiesis_Regulatory_Network, 182, 12,  7,  210, 1, 2, 668783, 59924.28, 0, 0.00, 1: 106; 2: 52; 
Lymphopoiesis_Regulatory_Network,  39, 12,  7,  210, 1, 2, 668745, 59924.28, 0, 0.00, 1: 106; 2: 52; 
Lymphopoiesis_Regulatory_Network, 616,  7, 12,  210, 1, 2, 668691, 59924.28, 52, 0.00, 1: 106; 2: 52; 
Lymphopoiesis_Regulatory_Network, 295,  9, 10,  211, 1, 2, 714528, 59924.28, 0, 0.00, 1: 105; 2: 53; 
Lymphopoiesis_Regulatory_Network,  94,  9,  9,  211, 1, 2, 644760, 59924.28, 0, 0.00, 1: 105; 2: 53; 
Lymphopoiesis_Regulatory_Network, 179,  7, 12,  211, 1, 2, 668711, 59924.28, 0, 0.00, 1: 105; 2: 53; 
Lymphopoiesis_Regulatory_Network, 482, 11,  8,  212, 1, 2, 700522, 59924.28, 0, 0.00, 1: 104; 2: 54; 
Lymphopoiesis_Regulatory_Network,  34,  6, 15,  213, 1, 2, 714352, 59924.28, 0, 0.00, 1: 103; 2: 55; 
Lymphopoiesis_Regulatory_Network,  23,  9,  9,  213, 1, 2, 644760, 59924.28, 0, 0.00, 1: 103; 2: 55; 
Lymphopoiesis_Regulatory_Network, 906,  9,  9,  214, 1, 2, 644760, 59924.28, 0, 0.00, 1: 102; 2: 56; 
Lymphopoiesis_Regulatory_Network,   2,  6, 14,  215, 1, 2, 668836, 59924.28, 175, 0.00, 1: 101; 2: 57; 
Lymphopoiesis_Regulatory_Network, 895,  7, 13,  215, 1, 2, 721139, 59924.28, 0, 0.00, 1: 101; 2: 57; 
Lymphopoiesis_Regulatory_Network, 627,  9, 10,  196, 1, 3, 714491, 59924.28, 0, 0.00, 1: 123; 2: 32; 3: 3; 
Lymphopoiesis_Regulatory_Network, 713,  9, 10,  197, 1, 3, 714439, 59924.28, 0, 0.00, 1: 120; 2: 37; 3: 1; 
Lymphopoiesis_Regulatory_Network, 797, 11,  8,  197, 1, 3, 700663, 59924.28, 0, 0.00, 1: 121; 2: 35; 3: 2; 
Lymphopoiesis_Regulatory_Network, 424,  8, 11,  197, 1, 3, 700592, 59924.28, 30, 0.00, 1: 120; 2: 37; 3: 1; 
Lymphopoiesis_Regulatory_Network, 451,  8, 11,  197, 1, 3, 700527, 59924.28, 0, 0.00, 1: 121; 2: 35; 3: 2; 
Lymphopoiesis_Regulatory_Network, 898,  9, 10,  198, 1, 3, 714600, 59924.28, 0, 0.00, 1: 119; 2: 38; 3: 1; 
Lymphopoiesis_Regulatory_Network, 454,  7, 13,  198, 1, 3, 720894, 59924.28, 0, 0.00, 1: 119; 2: 38; 3: 1; 
Lymphopoiesis_Regulatory_Network, 425, 11,  8,  198, 1, 3, 700578, 59924.28, 0, 0.00, 1: 119; 2: 38; 3: 1; 
