Seed 1656949570
ARCH 0|F_ID 1|LIMIT 2
before: 
02(437)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway,  26,  6,  6,   47, 0, 2, 281790, 4512.16, 70, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 206,  5,  8,   49, 0, 2, 308304, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 626,  7,  5,   49, 0, 2, 274295, 4512.16, 111, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 181,  4,  9,   49, 0, 2, 281793, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 657,  7,  5,   49, 0, 2, 274295, 4512.16, 5, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 661,  5,  7,   49, 0, 2, 274295, 4512.16, 85, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway,   1,  5,  8,   49, 0, 2, 308482, 4512.16, 210, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 672,  7,  5,   49, 0, 2, 274295, 4512.16, 30, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 673,  5,  7,   49, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 961,  5,  7,   49, 0, 2, 274295, 4512.16, 6, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 764,  5,  8,   50, 0, 2, 308338, 4512.16, 1, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 283,  6,  6,   50, 0, 2, 281818, 4512.16, 135, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 311,  6,  6,   50, 0, 2, 281787, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 282,  7,  5,   50, 0, 2, 274295, 4512.16, 234, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 733,  7,  5,   50, 0, 2, 274295, 4512.16, 85, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 744,  5,  8,   50, 0, 2, 308371, 4512.16, 32, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 746,  5,  8,   50, 0, 2, 308342, 4512.16, 80, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 993,  4, 10,   50, 0, 2, 308390, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 476,  5,  8,   50, 0, 2, 308348, 4512.16, 144, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 994,  4, 10,   50, 0, 2, 308376, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 238,  6,  6,   50, 0, 2, 281764, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 307,  5,  7,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 108,  6,  6,   50, 0, 2, 281779, 4512.16, 116, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 904,  9,  4,   50, 0, 2, 281808, 4512.16, 160, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 105,  4, 10,   50, 0, 2, 308359, 4512.16, 65, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 241,  7,  5,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 552,  5,  8,   50, 0, 2, 308171, 4512.16, 32, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 492,  7,  5,   50, 0, 2, 274295, 4512.16, 53, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 780,  5,  8,   50, 0, 2, 308298, 4512.16, 144, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 790,  9,  4,   50, 0, 2, 281816, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 277,  6,  6,   50, 0, 2, 281803, 4512.16, 85, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 168,  5,  8,   50, 0, 2, 308367, 4512.16, 30, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 464,  5,  8,   50, 0, 2, 308439, 4512.16, 224, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 644,  5,  8,   50, 0, 2, 308391, 4512.16, 144, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 189,  5,  8,   50, 0, 2, 308420, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
