Seed 1656949570
ARCH 2|F_ID 1|LIMIT 2
before: 
192(976)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 934,  6,  6,   45, 1, 2, 281825, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  19,  6,  6,   46, 1, 2, 281948, 4783.71, 87, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 472,  5,  7,   46, 1, 2, 274295, 4783.71, 200, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 264,  4, 10,   46, 1, 2, 308190, 4783.71, 96, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 960,  9,  4,   46, 1, 2, 281785, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 341,  4, 10,   46, 1, 2, 307949, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 698,  5,  8,   46, 1, 2, 308048, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 154,  4, 10,   46, 1, 2, 308402, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 695,  6,  6,   46, 1, 2, 281793, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 694,  6,  6,   46, 1, 2, 281762, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 261,  4,  9,   46, 1, 2, 281773, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 715,  9,  4,   46, 1, 2, 281798, 4783.71, 87, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 260,  4, 10,   46, 1, 2, 308076, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 689,  4, 10,   46, 1, 2, 307789, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 688,  5,  8,   46, 1, 2, 308345, 4783.71, 17, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 162,  5,  8,   46, 1, 2, 308327, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 478,  5,  8,   46, 1, 2, 308263, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 671,  5,  8,   46, 1, 2, 308318, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 965,  4,  9,   46, 1, 2, 281828, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 487,  4, 10,   46, 1, 2, 308075, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 490,  4, 10,   46, 1, 2, 307833, 4783.71, 121, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 467,  5,  8,   46, 1, 2, 308433, 4783.71, 87, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 763,  4, 10,   46, 1, 2, 308338, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 759,  4, 10,   46, 1, 2, 308238, 4783.71, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 125,  5,  8,   46, 1, 2, 308012, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  40,  4, 10,   46, 1, 2, 308391, 4783.71, 30, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 448,  5,  7,   46, 1, 2, 274295, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 129,  4,  9,   46, 1, 2, 281660, 4783.71, 163, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 746,  5,  8,   46, 1, 2, 308277, 4783.71, 80, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  24,  9,  4,   46, 1, 2, 281808, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 464,  5,  8,   46, 1, 2, 308399, 4783.71, 224, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 968,  6,  6,   46, 1, 2, 281773, 4783.71, 224, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 470,  4, 10,   46, 1, 2, 308387, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 471,  7,  5,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  23,  4, 10,   46, 1, 2, 308110, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 142,  5,  8,   46, 1, 2, 308360, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 143,  9,  4,   46, 1, 2, 281668, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 718,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 145,  4, 10,   46, 1, 2, 307975, 4783.71, 163, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,   1,  5,  8,   46, 1, 2, 308211, 4783.71, 66, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 210,  4, 10,   46, 1, 2, 308419, 4783.71, 43, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 604,  4, 10,   46, 1, 2, 308035, 4783.71, 74, 0.00, 1: 40; 2: 3; 
