Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
04(205)
macrophave_activation, 416, 21, 16,  938, 1, 4, 2696158, 213310.77, 68, 0.00, 1: 215; 2: 221; 3: 59; 4: 26; 
macrophave_activation, 599, 14, 23,  939, 1, 4, 2635731, 213310.77, 0, 0.00, 1: 210; 2: 227; 3: 61; 4: 23; 
macrophave_activation, 154, 18, 18,  939, 1, 4, 2616094, 213310.77, 33, 0.00, 1: 214; 2: 219; 3: 65; 4: 23; 
macrophave_activation,  80, 12, 29,  939, 1, 4, 2820761, 213310.77, 53, 0.00, 1: 225; 2: 203; 3: 64; 4: 29; 
macrophave_activation, 318, 21, 16,  939, 1, 4, 2696256, 213310.77, 0, 0.00, 1: 211; 2: 222; 3: 68; 4: 20; 
macrophave_activation, 951, 19, 17,  940, 1, 4, 2600110, 213310.77, 0, 0.00, 1: 223; 2: 203; 3: 69; 4: 26; 
macrophave_activation, 810, 13, 25,  940, 1, 4, 2632214, 213310.77, 33, 0.00, 1: 214; 2: 219; 3: 64; 4: 24; 
macrophave_activation, 875, 15, 22,  940, 1, 4, 2658082, 213310.77, 216, 0.00, 1: 212; 2: 220; 3: 68; 4: 21; 
macrophave_activation, 472, 17, 20,  940, 1, 4, 2757921, 213310.77, 32, 0.00, 1: 209; 2: 229; 3: 59; 4: 24; 
macrophave_activation, 124, 19, 17,  940, 1, 4, 2600087, 213310.77, 151, 0.00, 1: 220; 2: 208; 3: 68; 4: 25; 
macrophave_activation, 103, 16, 21,  940, 1, 4, 2696274, 213310.77, 0, 0.00, 1: 217; 2: 210; 3: 73; 4: 21; 
macrophave_activation,  57, 14, 23,  941, 1, 4, 2635731, 213310.77, 229, 0.00, 1: 215; 2: 217; 3: 64; 4: 25; 
macrophave_activation, 475, 17, 19,  942, 1, 4, 2600092, 213310.77, 216, 0.00, 1: 217; 2: 211; 3: 69; 4: 24; 
macrophave_activation, 301, 21, 16,  942, 1, 4, 2696087, 213310.77, 85, 0.00, 1: 223; 2: 204; 3: 65; 4: 29; 
macrophave_activation, 260, 17, 20,  943, 1, 4, 2757814, 213310.77, 0, 0.00, 1: 215; 2: 212; 3: 72; 4: 22; 
macrophave_activation, 942, 18, 18,  943, 1, 4, 2616171, 213310.77, 0, 0.00, 1: 207; 2: 227; 3: 66; 4: 21; 
macrophave_activation, 286, 13, 26,  943, 1, 4, 2726817, 213310.77, 0, 0.00, 1: 218; 2: 209; 3: 69; 4: 25; 
macrophave_activation, 721, 17, 19,  943, 1, 4, 2600104, 213310.77, 0, 0.00, 1: 214; 2: 217; 3: 65; 4: 25; 
macrophave_activation, 845, 16, 21,  944, 1, 4, 2696277, 213310.77, 85, 0.00, 1: 213; 2: 220; 3: 61; 4: 27; 
macrophave_activation, 190, 13, 26,  944, 1, 4, 2727090, 213310.77, 0, 0.00, 1: 206; 2: 230; 3: 62; 4: 23; 
macrophave_activation, 849, 18, 18,  944, 1, 4, 2616118, 213310.77, 0, 0.00, 1: 219; 2: 203; 3: 77; 4: 22; 
macrophave_activation, 577, 17, 20,  944, 1, 4, 2757618, 213310.77, 0, 0.00, 1: 213; 2: 219; 3: 63; 4: 26; 
macrophave_activation, 241, 16, 21,  944, 1, 4, 2696115, 213310.77, 0, 0.00, 1: 200; 2: 238; 3: 64; 4: 19; 
macrophave_activation, 331, 17, 19,  944, 1, 4, 2600103, 213310.77, 216, 0.00, 1: 208; 2: 228; 3: 60; 4: 25; 
macrophave_activation, 278, 19, 17,  945, 1, 4, 2600098, 213310.77, 0, 0.00, 1: 208; 2: 226; 3: 63; 4: 24; 
macrophave_activation, 284, 16, 21,  945, 1, 4, 2696136, 213310.77, 151, 0.00, 1: 215; 2: 209; 3: 76; 4: 21; 
macrophave_activation, 488, 14, 24,  946, 1, 4, 2696417, 213310.77, 64, 0.00, 1: 215; 2: 208; 3: 77; 4: 21; 
macrophave_activation, 255, 17, 19,  946, 1, 4, 2600108, 213310.77, 0, 0.00, 1: 213; 2: 212; 3: 75; 4: 21; 
macrophave_activation, 595, 17, 19,  947, 1, 4, 2600100, 213310.77, 0, 0.00, 1: 206; 2: 227; 3: 65; 4: 23; 
macrophave_activation, 591, 17, 19,  947, 1, 4, 2600133, 213310.77, 0, 0.00, 1: 208; 2: 226; 3: 61; 4: 26; 
macrophave_activation, 242, 17, 20,  947, 1, 4, 2757985, 213310.77, 0, 0.00, 1: 212; 2: 214; 3: 73; 4: 22; 
macrophave_activation, 688, 19, 17,  948, 1, 4, 2600093, 213310.77, 26, 0.00, 1: 206; 2: 226; 3: 66; 4: 23; 
macrophave_activation, 848, 18, 18,  948, 1, 4, 2616136, 213310.77, 191, 0.00, 1: 200; 2: 240; 3: 56; 4: 25; 
macrophave_activation, 920, 17, 19,  949, 1, 4, 2600104, 213310.77, 160, 0.00, 1: 205; 2: 226; 3: 68; 4: 22; 
macrophave_activation, 368, 18, 18,  950, 1, 4, 2616116, 213310.77, 109, 0.00, 1: 194; 2: 241; 3: 70; 4: 16; 
macrophave_activation, 125, 14, 24,  950, 1, 4, 2696254, 213310.77, 85, 0.00, 1: 207; 2: 222; 3: 69; 4: 23; 
macrophave_activation, 201, 19, 17,  951, 1, 4, 2600088, 213310.77, 231, 0.00, 1: 215; 2: 207; 3: 74; 4: 25; 
macrophave_activation,  46, 17, 19,  951, 1, 4, 2600099, 213310.77, 0, 0.00, 1: 209; 2: 217; 3: 72; 4: 23; 
