Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(686)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  127, 1, 2, 639015, 43827.16, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 158, 10,  8,  130, 1, 2, 634129, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 690,  6, 14,  130, 1, 2, 658830, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 179,  7, 12,  130, 1, 2, 659004, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 181, 10,  8,  130, 1, 2, 634117, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 135, 11,  7,  130, 1, 2, 613180, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 132,  7, 11,  130, 1, 2, 613261, 43827.16, 187, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 725, 10,  8,  130, 1, 2, 633756, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 967,  7, 12,  130, 1, 2, 658735, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 644,  9,  9,  130, 1, 2, 639136, 43827.16, 187, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 759, 11,  7,  130, 1, 2, 613143, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 631,  7, 12,  130, 1, 2, 658868, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 616,  7, 12,  130, 1, 2, 659099, 43827.16, 32, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 610, 10,  8,  130, 1, 2, 634189, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 109,  8, 10,  130, 1, 2, 634237, 43827.16, 32, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 751, 10,  8,  130, 1, 2, 634011, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 999,  7, 12,  130, 1, 2, 658720, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 244,  7, 12,  130, 1, 2, 658546, 43827.16, 61, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 863,  7, 12,  130, 1, 2, 658330, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 594, 10,  8,  130, 1, 2, 634150, 43827.16, 25, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 247,  8, 10,  130, 1, 2, 633920, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 472,  7, 11,  130, 1, 2, 613245, 43827.16, 200, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 523, 11,  7,  130, 1, 2, 613263, 43827.16, 115, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 505, 10,  8,  130, 1, 2, 634295, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,   0,  6, 14,  130, 1, 2, 658714, 43827.16, 128, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 908,  9,  9,  130, 1, 2, 639145, 43827.16, 187, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 806,  7, 12,  130, 1, 2, 658704, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 354,  7, 11,  130, 1, 2, 613233, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 995,  7, 12,  130, 1, 2, 658485, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 482, 10,  8,  130, 1, 2, 633872, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 478, 11,  7,  130, 1, 2, 613188, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 792, 10,  8,  130, 1, 2, 633939, 43827.16, 8, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  28,  7, 12,  130, 1, 2, 658834, 43827.16, 187, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 369, 10,  8,  130, 1, 2, 634066, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 390,  9,  9,  130, 1, 2, 639579, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 927,  9,  9,  130, 1, 2, 639328, 43827.16, 0, 0.00, 1: 82; 2: 24; 
