Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
04(988)
Melhor resultado nxn: Yeast_Apoptosis, 174,  9,  9,  189, 1, 4, 639234, 19894.78, 0, 0.00, 1: 58; 2: 34; 3: 17; 4: 3; 
Yeast_Apoptosis, 153, 10,  8,  194, 1, 4, 634068, 19894.78, 19, 0.00, 1: 58; 2: 32; 3: 16; 4: 6; 
Yeast_Apoptosis, 282, 10,  8,  194, 1, 4, 634015, 19894.78, 126, 0.00, 1: 55; 2: 37; 3: 15; 4: 5; 
Yeast_Apoptosis, 150,  7, 12,  194, 1, 4, 658496, 19894.78, 0, 0.00, 1: 58; 2: 33; 3: 14; 4: 7; 
Yeast_Apoptosis, 509,  6, 13,  194, 1, 4, 619464, 19894.78, 0, 0.00, 1: 60; 2: 31; 3: 12; 4: 9; 
Yeast_Apoptosis, 109,  8, 10,  194, 1, 4, 634104, 19894.78, 45, 0.00, 1: 57; 2: 33; 3: 17; 4: 5; 
Yeast_Apoptosis, 753,  9,  9,  194, 1, 4, 639234, 19894.78, 0, 0.00, 1: 57; 2: 31; 3: 21; 4: 3; 
Yeast_Apoptosis, 511,  9,  9,  194, 1, 4, 639205, 19894.78, 0, 0.00, 1: 59; 2: 32; 3: 13; 4: 8; 
Yeast_Apoptosis, 697,  9,  9,  194, 1, 4, 639097, 19894.78, 0, 0.00, 1: 56; 2: 37; 3: 12; 4: 7; 
Yeast_Apoptosis, 626,  7, 11,  195, 1, 4, 613155, 19894.78, 0, 0.00, 1: 56; 2: 34; 3: 17; 4: 5; 
Yeast_Apoptosis, 659,  9,  9,  195, 1, 4, 639183, 19894.78, 22, 0.00, 1: 57; 2: 34; 3: 14; 4: 7; 
Yeast_Apoptosis, 489,  8, 10,  195, 1, 4, 634057, 19894.78, 66, 0.00, 1: 57; 2: 33; 3: 16; 4: 6; 
Yeast_Apoptosis, 397,  7, 12,  195, 1, 4, 658669, 19894.78, 0, 0.00, 1: 55; 2: 36; 3: 16; 4: 5; 
Yeast_Apoptosis, 103, 10,  8,  195, 1, 4, 634029, 19894.78, 0, 0.00, 1: 56; 2: 34; 3: 17; 4: 5; 
Yeast_Apoptosis, 786,  7, 11,  195, 1, 4, 613216, 19894.78, 101, 0.00, 1: 55; 2: 38; 3: 12; 4: 7; 
Yeast_Apoptosis, 642,  7, 11,  195, 1, 4, 613181, 19894.78, 100, 0.00, 1: 57; 2: 35; 3: 12; 4: 8; 
Yeast_Apoptosis, 555,  8, 10,  195, 1, 4, 634089, 19894.78, 77, 0.00, 1: 58; 2: 32; 3: 15; 4: 7; 
Yeast_Apoptosis, 381, 10,  8,  195, 1, 4, 634017, 19894.78, 0, 0.00, 1: 56; 2: 34; 3: 17; 4: 5; 
Yeast_Apoptosis,  42,  7, 12,  195, 1, 4, 658747, 19894.78, 73, 0.00, 1: 56; 2: 34; 3: 17; 4: 5; 
Yeast_Apoptosis, 505, 10,  8,  195, 1, 4, 634244, 19894.78, 0, 0.00, 1: 60; 2: 30; 3: 13; 4: 9; 
Yeast_Apoptosis,  41,  7, 12,  195, 1, 4, 658784, 19894.78, 65, 0.00, 1: 53; 2: 40; 3: 14; 4: 5; 
Yeast_Apoptosis,  26,  9,  9,  195, 1, 4, 639150, 19894.78, 102, 0.00, 1: 56; 2: 34; 3: 17; 4: 5; 
Yeast_Apoptosis, 590, 10,  8,  195, 1, 4, 634032, 19894.78, 0, 0.00, 1: 53; 2: 39; 3: 16; 4: 4; 
Yeast_Apoptosis, 980,  6, 13,  195, 1, 4, 619525, 19894.78, 49, 0.00, 1: 61; 2: 26; 3: 18; 4: 7; 
Yeast_Apoptosis, 425, 10,  8,  195, 1, 4, 634087, 19894.78, 65, 0.00, 1: 60; 2: 27; 3: 19; 4: 6; 
Yeast_Apoptosis, 214,  9,  9,  196, 1, 4, 639158, 19894.78, 0, 0.00, 1: 57; 2: 34; 3: 13; 4: 8; 
Yeast_Apoptosis, 401,  7, 11,  196, 1, 4, 613222, 19894.78, 0, 0.00, 1: 56; 2: 36; 3: 12; 4: 8; 
Yeast_Apoptosis, 928,  7, 12,  196, 1, 4, 658734, 19894.78, 9, 0.00, 1: 60; 2: 27; 3: 18; 4: 7; 
Yeast_Apoptosis,  81,  9,  9,  196, 1, 4, 639180, 19894.78, 144, 0.00, 1: 55; 2: 37; 3: 13; 4: 7; 
Yeast_Apoptosis, 120,  7, 11,  196, 1, 4, 613221, 19894.78, 0, 0.00, 1: 55; 2: 35; 3: 17; 4: 5; 
Yeast_Apoptosis, 638,  9,  9,  196, 1, 4, 639303, 19894.78, 0, 0.00, 1: 58; 2: 30; 3: 18; 4: 6; 
Yeast_Apoptosis, 941,  8, 10,  196, 1, 4, 634177, 19894.78, 45, 0.00, 1: 55; 2: 34; 3: 19; 4: 4; 
Yeast_Apoptosis, 368,  9,  9,  196, 1, 4, 639201, 19894.78, 115, 0.00, 1: 62; 2: 26; 3: 14; 4: 10; 
Yeast_Apoptosis, 496,  8, 10,  196, 1, 4, 634073, 19894.78, 0, 0.00, 1: 57; 2: 34; 3: 13; 4: 8; 
Yeast_Apoptosis, 691,  8, 10,  196, 1, 4, 634129, 19894.78, 0, 0.00, 1: 57; 2: 31; 3: 19; 4: 5; 
Yeast_Apoptosis, 166,  9,  9,  196, 1, 4, 639091, 19894.78, 0, 0.00, 1: 54; 2: 37; 3: 16; 4: 5; 
Yeast_Apoptosis, 578, 10,  8,  196, 1, 4, 634003, 19894.78, 125, 0.00, 1: 52; 2: 41; 3: 14; 4: 5; 
Yeast_Apoptosis, 158, 10,  8,  196, 1, 4, 634040, 19894.78, 0, 0.00, 1: 60; 2: 29; 3: 14; 4: 9; 
Yeast_Apoptosis, 646,  8, 10,  196, 1, 4, 634047, 19894.78, 0, 0.00, 1: 55; 2: 35; 3: 17; 4: 5; 
Yeast_Apoptosis, 954,  8, 10,  196, 1, 4, 634121, 19894.78, 0, 0.00, 1: 59; 2: 29; 3: 17; 4: 7; 
