Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
214(282)
Lymphopoiesis_Regulatory_Network, 479,  7, 13,  268, 0, 4, 720969, 21216.21, 0, 0.00, 0: 8; 1: 71; 2: 48; 3: 23; 4: 8; 
Lymphopoiesis_Regulatory_Network, 471,  7, 13,  268, 0, 4, 720926, 21216.21, 0, 0.00, 0: 8; 1: 67; 2: 55; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 576,  7, 12,  268, 0, 4, 668731, 21216.21, 48, 0.00, 0: 8; 1: 65; 2: 60; 3: 17; 4: 8; 
Lymphopoiesis_Regulatory_Network, 215, 11,  8,  268, 0, 4, 700390, 21216.21, 0, 0.00, 0: 8; 1: 69; 2: 53; 3: 19; 4: 9; 
Lymphopoiesis_Regulatory_Network, 541, 11,  8,  268, 0, 4, 700479, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 54; 3: 26; 4: 4; 
Lymphopoiesis_Regulatory_Network, 476,  7, 13,  268, 0, 4, 720905, 21216.21, 38, 0.00, 0: 8; 1: 67; 2: 54; 3: 23; 4: 6; 
Lymphopoiesis_Regulatory_Network, 369, 11,  8,  269, 0, 4, 700574, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 60; 3: 22; 4: 5; 
Lymphopoiesis_Regulatory_Network, 864, 12,  7,  269, 0, 4, 668693, 21216.21, 63, 0.00, 0: 8; 1: 62; 2: 63; 3: 19; 4: 6; 
Lymphopoiesis_Regulatory_Network, 780,  9, 10,  269, 0, 4, 714568, 21216.21, 77, 0.00, 0: 8; 1: 63; 2: 62; 3: 18; 4: 7; 
Lymphopoiesis_Regulatory_Network, 736,  9, 10,  269, 0, 4, 714252, 21216.21, 58, 0.00, 0: 8; 1: 63; 2: 62; 3: 18; 4: 7; 
Lymphopoiesis_Regulatory_Network, 530,  7, 13,  269, 0, 4, 720835, 21216.21, 0, 0.00, 0: 8; 1: 67; 2: 54; 3: 22; 4: 7; 
Lymphopoiesis_Regulatory_Network, 420,  7, 13,  269, 0, 4, 721044, 21216.21, 30, 0.00, 0: 8; 1: 62; 2: 63; 3: 19; 4: 6; 
Lymphopoiesis_Regulatory_Network, 345,  8, 11,  269, 0, 4, 700344, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 60; 3: 22; 4: 5; 
Lymphopoiesis_Regulatory_Network, 116,  9, 10,  269, 0, 4, 714366, 21216.21, 10, 0.00, 0: 8; 1: 59; 2: 67; 3: 20; 4: 4; 
Lymphopoiesis_Regulatory_Network,  37,  9, 10,  269, 0, 4, 714256, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 60; 3: 22; 4: 5; 
Lymphopoiesis_Regulatory_Network,  62,  9, 10,  269, 0, 4, 714437, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 52; 3: 23; 4: 7; 
Lymphopoiesis_Regulatory_Network, 453, 11,  8,  269, 0, 4, 700417, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 58; 3: 23; 4: 5; 
Lymphopoiesis_Regulatory_Network, 127,  8, 11,  269, 0, 4, 700387, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 60; 3: 22; 4: 5; 
Lymphopoiesis_Regulatory_Network, 287,  7, 13,  270, 0, 4, 720642, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 59; 3: 26; 4: 3; 
Lymphopoiesis_Regulatory_Network, 297,  9, 10,  270, 0, 4, 714220, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 56; 3: 26; 4: 4; 
Lymphopoiesis_Regulatory_Network, 992,  6, 14,  270, 0, 4, 668759, 21216.21, 68, 0.00, 0: 8; 1: 72; 2: 46; 3: 22; 4: 10; 
Lymphopoiesis_Regulatory_Network, 106, 12,  7,  270, 0, 4, 668710, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 64; 3: 19; 4: 6; 
