Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
14(597)
signal_transduction_in_fibroblasts, 778, 13, 11, 1051, 1, 4, 1146612, 188401.53, 0, 0.00, 1: 198; 2: 211; 3: 117; 4: 20; 
signal_transduction_in_fibroblasts, 612, 10, 15, 1051, 1, 4, 1201062, 188401.53, 94, 0.00, 1: 199; 2: 211; 3: 114; 4: 22; 
signal_transduction_in_fibroblasts, 342, 13, 11, 1051, 1, 4, 1146605, 188401.53, 0, 0.00, 1: 204; 2: 201; 3: 119; 4: 22; 
signal_transduction_in_fibroblasts, 697, 10, 15, 1051, 1, 4, 1201042, 188401.53, 0, 0.00, 1: 197; 2: 212; 3: 118; 4: 19; 
signal_transduction_in_fibroblasts, 283, 12, 12, 1052, 1, 4, 1151999, 188401.53, 0, 0.00, 1: 201; 2: 210; 3: 109; 4: 26; 
signal_transduction_in_fibroblasts, 515, 10, 15, 1052, 1, 4, 1200987, 188401.53, 0, 0.00, 1: 195; 2: 218; 3: 111; 4: 22; 
signal_transduction_in_fibroblasts, 597, 10, 14, 1052, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 202; 2: 201; 3: 124; 4: 19; 
signal_transduction_in_fibroblasts, 771, 10, 14, 1052, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 197; 2: 213; 3: 115; 4: 21; 
signal_transduction_in_fibroblasts, 547, 13, 11, 1052, 1, 4, 1146637, 188401.53, 0, 0.00, 1: 187; 2: 225; 3: 121; 4: 13; 
signal_transduction_in_fibroblasts, 851, 12, 12, 1052, 1, 4, 1152015, 188401.53, 0, 0.00, 1: 206; 2: 198; 3: 118; 4: 24; 
signal_transduction_in_fibroblasts, 986, 14, 10, 1052, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 195; 2: 222; 3: 103; 4: 26; 
signal_transduction_in_fibroblasts, 656, 13, 11, 1052, 1, 4, 1146627, 188401.53, 23, 0.00, 1: 198; 2: 209; 3: 120; 4: 19; 
signal_transduction_in_fibroblasts, 664, 10, 15, 1052, 1, 4, 1200920, 188401.53, 24, 0.00, 1: 197; 2: 215; 3: 111; 4: 23; 
signal_transduction_in_fibroblasts, 429, 13, 11, 1052, 1, 4, 1146623, 188401.53, 0, 0.00, 1: 198; 2: 212; 3: 114; 4: 22; 
signal_transduction_in_fibroblasts, 621, 12, 12, 1053, 1, 4, 1152016, 188401.53, 0, 0.00, 1: 194; 2: 208; 3: 133; 4: 11; 
signal_transduction_in_fibroblasts, 896, 12, 12, 1053, 1, 4, 1152075, 188401.53, 27, 0.00, 1: 194; 2: 216; 3: 117; 4: 19; 
signal_transduction_in_fibroblasts, 903, 13, 11, 1053, 1, 4, 1146596, 188401.53, 0, 0.00, 1: 198; 2: 209; 3: 119; 4: 20; 
signal_transduction_in_fibroblasts, 425, 10, 15, 1053, 1, 4, 1200688, 188401.53, 0, 0.00, 1: 198; 2: 210; 3: 117; 4: 21; 
signal_transduction_in_fibroblasts, 542, 10, 15, 1053, 1, 4, 1201093, 188401.53, 0, 0.00, 1: 190; 2: 225; 3: 111; 4: 20; 
signal_transduction_in_fibroblasts, 980, 14, 10, 1053, 1, 4, 1128680, 188401.53, 87, 0.00, 1: 192; 2: 219; 3: 117; 4: 18; 
signal_transduction_in_fibroblasts, 194, 10, 15, 1053, 1, 4, 1200632, 188401.53, 0, 0.00, 1: 191; 2: 221; 3: 116; 4: 18; 
signal_transduction_in_fibroblasts,  98, 10, 15, 1053, 1, 4, 1200972, 188401.53, 0, 0.00, 1: 195; 2: 214; 3: 118; 4: 19; 
signal_transduction_in_fibroblasts, 957, 11, 13, 1053, 1, 4, 1146615, 188401.53, 0, 0.00, 1: 196; 2: 210; 3: 123; 4: 17; 
signal_transduction_in_fibroblasts, 303,  9, 17, 1054, 1, 4, 1222895, 188401.53, 0, 0.00, 1: 199; 2: 216; 3: 101; 4: 30; 
signal_transduction_in_fibroblasts, 276, 10, 15, 1054, 1, 4, 1200877, 188401.53, 51, 0.00, 1: 184; 2: 234; 3: 110; 4: 18; 
signal_transduction_in_fibroblasts, 632, 13, 11, 1054, 1, 4, 1146584, 188401.53, 22, 0.00, 1: 190; 2: 225; 3: 110; 4: 21; 
signal_transduction_in_fibroblasts, 546, 11, 13, 1054, 1, 4, 1146672, 188401.53, 0, 0.00, 1: 188; 2: 227; 3: 112; 4: 19; 
signal_transduction_in_fibroblasts, 266, 10, 14, 1054, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 194; 2: 213; 3: 122; 4: 17; 
signal_transduction_in_fibroblasts, 909, 10, 14, 1054, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 200; 2: 207; 3: 116; 4: 23; 
signal_transduction_in_fibroblasts, 576, 13, 11, 1054, 1, 4, 1146592, 188401.53, 19, 0.00, 1: 195; 2: 214; 3: 117; 4: 20; 
signal_transduction_in_fibroblasts, 448,  9, 17, 1054, 1, 4, 1222757, 188401.53, 16, 0.00, 1: 205; 2: 200; 3: 115; 4: 26; 
signal_transduction_in_fibroblasts, 409, 12, 12, 1054, 1, 4, 1152019, 188401.53, 0, 0.00, 1: 191; 2: 220; 3: 117; 4: 18; 
signal_transduction_in_fibroblasts, 683, 14, 10, 1054, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 200; 2: 207; 3: 116; 4: 23; 
signal_transduction_in_fibroblasts, 835, 10, 15, 1055, 1, 4, 1201032, 188401.53, 0, 0.00, 1: 190; 2: 218; 3: 123; 4: 15; 
signal_transduction_in_fibroblasts, 731, 11, 13, 1055, 1, 4, 1146621, 188401.53, 0, 0.00, 1: 195; 2: 209; 3: 126; 4: 16; 
signal_transduction_in_fibroblasts, 233, 11, 13, 1055, 1, 4, 1146594, 188401.53, 0, 0.00, 1: 196; 2: 208; 3: 125; 4: 17; 
signal_transduction_in_fibroblasts, 889, 10, 14, 1055, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 191; 2: 216; 3: 124; 4: 15; 
signal_transduction_in_fibroblasts, 244, 10, 15, 1055, 1, 4, 1200965, 188401.53, 11, 0.00, 1: 187; 2: 233; 3: 102; 4: 24; 
signal_transduction_in_fibroblasts,   0,  9, 16, 1055, 1, 4, 1152009, 188401.53, 0, 0.00, 1: 193; 2: 218; 3: 114; 4: 21; 
