Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
24(811)
IGVH_mutations_in_chronic_lymphocytic_leukemia, 496, 10, 10,  238, 0, 4, 796039, 25006.03, 46, 0.00, 0: 25; 1: 56; 2: 37; 3: 20; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 132,  9, 11,  238, 0, 4, 786087, 25006.03, 21, 0.00, 0: 25; 1: 62; 2: 30; 3: 16; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 701, 11,  9,  239, 0, 4, 786027, 25006.03, 0, 0.00, 0: 25; 1: 55; 2: 42; 3: 12; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 395,  9, 11,  239, 0, 4, 786052, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 31; 3: 19; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  69,  9, 11,  239, 0, 4, 785992, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 32; 3: 20; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 684,  9, 11,  239, 0, 4, 786133, 25006.03, 57, 0.00, 0: 25; 1: 60; 2: 30; 3: 21; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 692, 11,  9,  239, 0, 4, 786058, 25006.03, 38, 0.00, 0: 25; 1: 62; 2: 28; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 292, 10, 10,  239, 0, 4, 796038, 25006.03, 9, 0.00, 0: 25; 1: 59; 2: 28; 3: 28; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 300, 10, 10,  239, 0, 4, 796070, 25006.03, 31, 0.00, 0: 25; 1: 60; 2: 34; 3: 13; 4: 18; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 614, 10, 10,  239, 0, 4, 795941, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 35; 3: 17; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 309,  8, 12,  239, 0, 4, 764425, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 37; 3: 16; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 353, 11,  9,  239, 0, 4, 786011, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 34; 3: 16; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 482,  9, 11,  239, 0, 4, 786090, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 31; 3: 22; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 535,  9, 11,  239, 0, 4, 786112, 25006.03, 0, 0.00, 0: 25; 1: 53; 2: 42; 3: 18; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 338, 10, 10,  239, 0, 4, 795992, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 32; 3: 23; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 966, 10, 10,  239, 0, 4, 795957, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 31; 3: 22; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 139, 10, 10,  240, 0, 4, 796051, 25006.03, 0, 0.00, 0: 25; 1: 62; 2: 27; 3: 20; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 349, 12,  8,  240, 0, 4, 764314, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 34; 3: 15; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 673, 11,  9,  240, 0, 4, 786046, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 32; 3: 22; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 922,  8, 12,  240, 0, 4, 764382, 25006.03, 0, 0.00, 0: 25; 1: 61; 2: 28; 3: 21; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 752, 10, 10,  240, 0, 4, 795911, 25006.03, 69, 0.00, 0: 25; 1: 57; 2: 35; 3: 19; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 345,  9, 11,  240, 0, 4, 786178, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 33; 3: 17; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 539,  9, 11,  240, 0, 4, 786195, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 37; 3: 18; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  59, 11,  9,  240, 0, 4, 786148, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 29; 3: 25; 4: 12; 
