Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
43(480)
Melhor resultado nxn: Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 965,  7, 11,  147, 1, 3, 612592, 17070.56, 86, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 677,  7, 11,  148, 1, 3, 613362, 17070.56, 0, 0.00, 1: 79; 2: 30; 3: 3; 
Yeast_Apoptosis, 854, 11,  7,  148, 1, 3, 613226, 17070.56, 0, 0.00, 1: 82; 2: 24; 3: 6; 
Yeast_Apoptosis, 885,  6, 13,  148, 1, 3, 619356, 17070.56, 0, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis, 645, 11,  7,  148, 1, 3, 612671, 17070.56, 86, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis, 689,  9,  9,  148, 1, 3, 639262, 17070.56, 0, 0.00, 1: 81; 2: 26; 3: 5; 
Yeast_Apoptosis, 927,  9,  9,  148, 1, 3, 638640, 17070.56, 0, 0.00, 1: 78; 2: 32; 3: 2; 
Yeast_Apoptosis,  71,  6, 13,  148, 1, 3, 619383, 17070.56, 0, 0.00, 1: 81; 2: 26; 3: 5; 
Yeast_Apoptosis, 272,  7, 12,  148, 1, 3, 658981, 17070.56, 208, 0.00, 1: 82; 2: 24; 3: 6; 
Yeast_Apoptosis, 184,  7, 11,  148, 1, 3, 613440, 17070.56, 0, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis, 260,  8, 10,  148, 1, 3, 633476, 17070.56, 75, 0.00, 1: 78; 2: 32; 3: 2; 
Yeast_Apoptosis,  81,  9,  9,  148, 1, 3, 638870, 17070.56, 32, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis, 447,  8, 10,  148, 1, 3, 634370, 17070.56, 0, 0.00, 1: 81; 2: 26; 3: 5; 
Yeast_Apoptosis, 507,  8, 10,  148, 1, 3, 634096, 17070.56, 0, 0.00, 1: 79; 2: 30; 3: 3; 
Yeast_Apoptosis, 504,  7, 12,  148, 1, 3, 658972, 17070.56, 0, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis, 503,  7, 11,  148, 1, 3, 613370, 17070.56, 0, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis,   4, 10,  8,  148, 1, 3, 634266, 17070.56, 4, 0.00, 1: 78; 2: 32; 3: 2; 
Yeast_Apoptosis,   5,  7, 11,  148, 1, 3, 613379, 17070.56, 127, 0.00, 1: 81; 2: 26; 3: 5; 
Yeast_Apoptosis, 517,  9,  9,  148, 1, 3, 639642, 17070.56, 0, 0.00, 1: 82; 2: 24; 3: 6; 
Yeast_Apoptosis,  15,  9,  9,  148, 1, 3, 639210, 17070.56, 0, 0.00, 1: 81; 2: 26; 3: 5; 
Yeast_Apoptosis, 556,  7, 11,  148, 1, 3, 613069, 17070.56, 80, 0.00, 1: 79; 2: 30; 3: 3; 
Yeast_Apoptosis, 594, 10,  8,  148, 1, 3, 633910, 17070.56, 88, 0.00, 1: 80; 2: 28; 3: 4; 
Yeast_Apoptosis, 398,  9,  9,  148, 1, 3, 639398, 17070.56, 0, 0.00, 1: 79; 2: 30; 3: 3; 
Yeast_Apoptosis,  41,  7, 12,  148, 1, 3, 658437, 17070.56, 65, 0.00, 1: 78; 2: 32; 3: 2; 
Yeast_Apoptosis, 598,  7, 12,  148, 1, 3, 659021, 17070.56, 0, 0.00, 1: 78; 2: 32; 3: 2; 
Yeast_Apoptosis, 600,  9,  9,  148, 1, 3, 639414, 17070.56, 72, 0.00, 1: 78; 2: 32; 3: 2; 
Yeast_Apoptosis, 604,  9,  9,  148, 1, 3, 639255, 17070.56, 75, 0.00, 1: 82; 2: 24; 3: 6; 
Yeast_Apoptosis, 640,  7, 11,  148, 1, 3, 613159, 17070.56, 128, 0.00, 1: 81; 2: 26; 3: 5; 
Yeast_Apoptosis, 364,  6, 14,  148, 1, 3, 659662, 17070.56, 122, 0.00, 1: 82; 2: 24; 3: 6; 
Yeast_Apoptosis, 454,  6, 13,  149, 1, 3, 619475, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 674, 11,  7,  149, 1, 3, 613086, 17070.56, 0, 0.00, 1: 76; 2: 35; 3: 1; 
