Seed 1656949570
ARCH 2|F_ID 2|LIMIT 2
before: 
102(1000)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 651,  6,  6,   45, 1, 2, 281803, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 517,  4, 10,   46, 1, 2, 308183, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 431,  4, 10,   46, 1, 2, 308347, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 482,  5,  8,   46, 1, 2, 308133, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 505,  4,  9,   46, 1, 2, 281789, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 430,  7,  5,   46, 1, 2, 274295, 6375.60, 32, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 497,  6,  6,   46, 1, 2, 281780, 6375.60, 65, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 428,  5,  8,   46, 1, 2, 308273, 6375.60, 53, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 496,  7,  5,   46, 1, 2, 274295, 6375.60, 78, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 396,  5,  7,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 405,  4, 10,   46, 1, 2, 308205, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 421,  4, 10,   46, 1, 2, 308350, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 454,  5,  7,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 423,  9,  4,   46, 1, 2, 281797, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 494,  6,  6,   46, 1, 2, 281786, 6375.60, 95, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 484,  5,  8,   46, 1, 2, 308009, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 225,  5,  8,   46, 1, 2, 308150, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 267,  4, 10,   46, 1, 2, 308347, 6375.60, 249, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 262,  5,  8,   46, 1, 2, 308320, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 246,  6,  6,   46, 1, 2, 281804, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 244,  5,  8,   46, 1, 2, 308297, 6375.60, 23, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 240,  5,  8,   46, 1, 2, 308225, 6375.60, 15, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 237,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 230,  5,  8,   46, 1, 2, 308234, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 228,  5,  8,   46, 1, 2, 308139, 6375.60, 0, 0.00, 1: 40; 2: 3; 
