Seed 1656949570
ARCH 0|F_ID 2|LIMIT 2
before: 
02(970)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 630,  9,  4,   50, 0, 2, 281792, 5444.15, 1, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 342,  7,  5,   50, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 367,  6,  6,   50, 0, 2, 281575, 5444.15, 116, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway,  14,  6,  6,   50, 0, 2, 281771, 5444.15, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 332,  4,  9,   50, 0, 2, 281810, 5444.15, 244, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 344,  9,  4,   50, 0, 2, 281796, 5444.15, 72, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 335,  4,  9,   50, 0, 2, 281785, 5444.15, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 305,  5,  8,   50, 0, 2, 308210, 5444.15, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 359,  9,  4,   50, 0, 2, 281802, 5444.15, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 912,  9,  4,   50, 0, 2, 281787, 5444.15, 160, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 429,  7,  5,   50, 0, 2, 274295, 5444.15, 49, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 930,  9,  4,   51, 0, 2, 281796, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  95,  6,  6,   51, 0, 2, 281781, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 604,  4, 10,   51, 0, 2, 308205, 5444.15, 244, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 592,  5,  8,   51, 0, 2, 308263, 5444.15, 96, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 587,  5,  7,   51, 0, 2, 274295, 5444.15, 91, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 586,  4,  9,   51, 0, 2, 281810, 5444.15, 139, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 612,  5,  8,   51, 0, 2, 308077, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  87,  4, 10,   51, 0, 2, 308318, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 731,  9,  4,   51, 0, 2, 281790, 5444.15, 91, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 206,  5,  8,   51, 0, 2, 308265, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 809,  4,  9,   51, 0, 2, 281806, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 208,  6,  6,   51, 0, 2, 281764, 5444.15, 32, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 928,  9,  4,   51, 0, 2, 281787, 5444.15, 24, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 782,  6,  6,   51, 0, 2, 281802, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 722,  9,  4,   51, 0, 2, 281786, 5444.15, 139, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 100,  9,  4,   51, 0, 2, 281775, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 620,  9,  4,   51, 0, 2, 281778, 5444.15, 109, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 397,  4, 10,   51, 0, 2, 308298, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 739,  9,  4,   51, 0, 2, 281805, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 296,  5,  8,   51, 0, 2, 308207, 5444.15, 35, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 162,  5,  8,   51, 0, 2, 308282, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 165,  5,  7,   51, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 764,  5,  8,   51, 0, 2, 308374, 5444.15, 1, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 177,  6,  6,   51, 0, 2, 281795, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 644,  5,  8,   51, 0, 2, 308266, 5444.15, 244, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 647,  7,  5,   51, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 115,  7,  5,   51, 0, 2, 274295, 5444.15, 32, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 170,  6,  6,   51, 0, 2, 281799, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 652,  9,  4,   51, 0, 2, 281794, 5444.15, 244, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 700,  7,  5,   51, 0, 2, 274295, 5444.15, 1, 0.00, 0: 2; 1: 31; 2: 10; 
