Seed 1656949570
ARCH 2|F_ID 3|LIMIT 7
before: 
55(589)
Erb-reception, 267, 16, 16, 2445, 1, 5, 2053913, 380497.31, 0, 0.00, 1: 267; 2: 415; 3: 301; 4: 100; 5: 9; 
Erb-reception,  38, 15, 17, 2446, 1, 5, 2070784, 380497.31, 0, 0.00, 1: 277; 2: 404; 3: 294; 4: 106; 5: 11; 
Erb-reception, 737, 18, 14, 2446, 1, 5, 2023390, 380497.31, 0, 0.00, 1: 275; 2: 395; 3: 312; 4: 105; 5: 5; 
Erb-reception, 523, 16, 16, 2446, 1, 5, 2053975, 380497.31, 0, 0.00, 1: 281; 2: 386; 3: 317; 4: 98; 5: 10; 
Erb-reception,  31, 16, 16, 2446, 1, 5, 2053922, 380497.31, 0, 0.00, 1: 281; 2: 389; 3: 313; 4: 97; 5: 12; 
Erb-reception, 546, 18, 14, 2446, 1, 5, 2023466, 380497.31, 0, 0.00, 1: 284; 2: 394; 3: 288; 4: 120; 5: 6; 
Erb-reception, 696, 17, 15, 2447, 1, 5, 2070789, 380497.31, 174, 0.00, 1: 270; 2: 403; 3: 314; 4: 96; 5: 9; 
Erb-reception, 689, 14, 18, 2447, 1, 5, 2023424, 380497.31, 0, 0.00, 1: 284; 2: 391; 3: 297; 4: 110; 5: 10; 
Erb-reception, 607, 16, 16, 2447, 1, 5, 2053965, 380497.31, 0, 0.00, 1: 275; 2: 412; 3: 283; 4: 111; 5: 11; 
Erb-reception, 883, 18, 14, 2448, 1, 5, 2023367, 380497.31, 0, 0.00, 1: 268; 2: 414; 3: 298; 4: 102; 5: 10; 
Erb-reception, 537, 18, 14, 2448, 1, 5, 2023405, 380497.31, 0, 0.00, 1: 287; 2: 390; 3: 287; 4: 120; 5: 8; 
Erb-reception, 692, 14, 18, 2449, 1, 5, 2023352, 380497.31, 173, 0.00, 1: 273; 2: 403; 3: 301; 4: 108; 5: 7; 
Erb-reception, 253, 15, 17, 2449, 1, 5, 2070942, 380497.31, 0, 0.00, 1: 270; 2: 413; 3: 290; 4: 112; 5: 7; 
Erb-reception, 628, 15, 17, 2449, 1, 5, 2070769, 380497.31, 157, 0.00, 1: 275; 2: 390; 3: 321; 4: 99; 5: 7; 
Erb-reception, 792, 14, 18, 2450, 1, 5, 2023425, 380497.31, 198, 0.00, 1: 277; 2: 393; 3: 312; 4: 99; 5: 11; 
Erb-reception, 381, 15, 17, 2450, 1, 5, 2070670, 380497.31, 0, 0.00, 1: 273; 2: 407; 3: 291; 4: 115; 5: 6; 
Erb-reception, 893, 16, 16, 2450, 1, 5, 2054047, 380497.31, 0, 0.00, 1: 268; 2: 408; 3: 309; 4: 96; 5: 11; 
Erb-reception, 303, 15, 17, 2450, 1, 5, 2070765, 380497.31, 0, 0.00, 1: 274; 2: 407; 3: 300; 4: 93; 5: 18; 
Erb-reception, 781, 13, 20, 2450, 1, 5, 2082596, 380497.31, 0, 0.00, 1: 279; 2: 384; 3: 322; 4: 98; 5: 9; 
Erb-reception, 471, 17, 15, 2451, 1, 5, 2070941, 380497.31, 0, 0.00, 1: 263; 2: 418; 3: 302; 4: 99; 5: 10; 
Erb-reception, 228, 15, 17, 2451, 1, 5, 2070727, 380497.31, 57, 0.00, 1: 264; 2: 412; 3: 310; 4: 97; 5: 9; 
Erb-reception,  70, 15, 17, 2451, 1, 5, 2070810, 380497.31, 0, 0.00, 1: 282; 2: 388; 3: 306; 4: 105; 5: 11; 
Erb-reception, 454, 16, 16, 2452, 1, 5, 2054078, 380497.31, 0, 0.00, 1: 270; 2: 400; 3: 313; 4: 102; 5: 7; 
Erb-reception, 918, 18, 14, 2452, 1, 5, 2023414, 380497.31, 0, 0.00, 1: 267; 2: 402; 3: 319; 4: 96; 5: 8; 
Erb-reception,  62, 15, 17, 2452, 1, 5, 2070784, 380497.31, 0, 0.00, 1: 266; 2: 403; 3: 321; 4: 93; 5: 9; 
Erb-reception, 960, 15, 17, 2452, 1, 5, 2070783, 380497.31, 240, 0.00, 1: 269; 2: 409; 3: 298; 4: 109; 5: 7; 
Erb-reception,  13, 18, 14, 2452, 1, 5, 2023471, 380497.31, 0, 0.00, 1: 282; 2: 377; 3: 324; 4: 101; 5: 8; 
Erb-reception, 822, 16, 16, 2452, 1, 5, 2053985, 380497.31, 0, 0.00, 1: 268; 2: 415; 3: 289; 4: 113; 5: 7; 
Erb-reception, 632, 13, 20, 2452, 1, 5, 2082506, 380497.31, 158, 0.00, 1: 275; 2: 391; 3: 319; 4: 97; 5: 10; 
Erb-reception, 743, 14, 18, 2453, 1, 5, 2023401, 380497.31, 0, 0.00, 1: 263; 2: 419; 3: 301; 4: 96; 5: 13; 
Erb-reception, 394, 14, 18, 2453, 1, 5, 2023385, 380497.31, 0, 0.00, 1: 270; 2: 402; 3: 314; 4: 93; 5: 13; 
Erb-reception, 451, 14, 18, 2453, 1, 5, 2023410, 380497.31, 0, 0.00, 1: 269; 2: 407; 3: 304; 4: 102; 5: 10; 
Erb-reception, 958, 14, 18, 2453, 1, 5, 2023341, 380497.31, 0, 0.00, 1: 265; 2: 411; 3: 304; 4: 106; 5: 6; 
Erb-reception, 326, 17, 15, 2453, 1, 5, 2070782, 380497.31, 0, 0.00, 1: 271; 2: 402; 3: 304; 4: 109; 5: 6; 
Erb-reception, 469, 16, 16, 2454, 1, 5, 2053968, 380497.31, 0, 0.00, 1: 274; 2: 390; 3: 319; 4: 102; 5: 7; 
Erb-reception, 841, 16, 16, 2454, 1, 5, 2053980, 380497.31, 0, 0.00, 1: 269; 2: 402; 3: 314; 4: 96; 5: 11; 
Erb-reception, 857, 16, 16, 2454, 1, 5, 2053984, 380497.31, 0, 0.00, 1: 264; 2: 416; 3: 303; 4: 96; 5: 13; 
Erb-reception,  90, 14, 18, 2454, 1, 5, 2023429, 380497.31, 0, 0.00, 1: 284; 2: 383; 3: 303; 4: 115; 5: 7; 
Erb-reception, 534, 12, 22, 2455, 1, 5, 2144036, 380497.31, 0, 0.00, 1: 279; 2: 392; 3: 309; 4: 95; 5: 17; 
Erb-reception, 744, 14, 18, 2455, 1, 5, 2023417, 380497.31, 186, 0.00, 1: 260; 2: 416; 3: 311; 4: 95; 5: 10; 
Erb-reception, 535, 14, 18, 2455, 1, 5, 2023388, 380497.31, 0, 0.00, 1: 266; 2: 424; 3: 279; 4: 111; 5: 12; 
Erb-reception, 399, 13, 19, 2456, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 274; 2: 392; 3: 313; 4: 106; 5: 7; 
Erb-reception, 567, 14, 18, 2456, 1, 5, 2023377, 380497.31, 0, 0.00, 1: 277; 2: 401; 3: 291; 4: 111; 5: 12; 
Erb-reception, 533, 14, 18, 2456, 1, 5, 2023382, 380497.31, 0, 0.00, 1: 273; 2: 402; 3: 300; 4: 106; 5: 11; 
Erb-reception, 245, 15, 17, 2456, 1, 5, 2070823, 380497.31, 0, 0.00, 1: 267; 2: 393; 3: 333; 4: 91; 5: 8; 
Erb-reception, 464, 17, 15, 2457, 1, 5, 2070823, 380497.31, 116, 0.00, 1: 264; 2: 407; 3: 313; 4: 100; 5: 8; 
Erb-reception, 860, 13, 20, 2457, 1, 5, 2082492, 380497.31, 215, 0.00, 1: 279; 2: 385; 3: 317; 4: 98; 5: 13; 
Erb-reception, 307, 16, 16, 2457, 1, 5, 2053962, 380497.31, 0, 0.00, 1: 275; 2: 393; 3: 308; 4: 108; 5: 8; 
Erb-reception, 721, 17, 15, 2457, 1, 5, 2070766, 380497.31, 0, 0.00, 1: 275; 2: 399; 3: 302; 4: 102; 5: 14; 
Erb-reception, 921, 17, 15, 2457, 1, 5, 2070858, 380497.31, 0, 0.00, 1: 268; 2: 402; 3: 308; 4: 109; 5: 5; 
Erb-reception, 108, 16, 16, 2458, 1, 5, 2053852, 380497.31, 27, 0.00, 1: 272; 2: 397; 3: 307; 4: 109; 5: 7; 
Erb-reception, 584, 15, 17, 2458, 1, 5, 2070842, 380497.31, 146, 0.00, 1: 265; 2: 407; 3: 309; 4: 103; 5: 8; 
Erb-reception,  27, 18, 14, 2458, 1, 5, 2023417, 380497.31, 0, 0.00, 1: 265; 2: 420; 3: 283; 4: 116; 5: 8; 
Erb-reception, 160, 18, 14, 2459, 1, 5, 2023348, 380497.31, 40, 0.00, 1: 266; 2: 410; 3: 294; 4: 119; 5: 3; 
Erb-reception, 488, 13, 19, 2460, 1, 5, 2005146, 380497.31, 122, 0.00, 1: 272; 2: 408; 3: 294; 4: 100; 5: 18; 
Erb-reception, 554, 17, 15, 2460, 1, 5, 2070631, 380497.31, 0, 0.00, 1: 275; 2: 385; 3: 321; 4: 103; 5: 8; 
