Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
533(275)
Lymphopoiesis_Regulatory_Network, 303,  7, 12,  214, 1, 3, 668622, 25783.22, 0, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 952,  7, 12,  214, 1, 3, 668722, 25783.22, 67, 0.00, 1: 109; 2: 42; 3: 7; 
Lymphopoiesis_Regulatory_Network, 965,  8, 11,  214, 1, 3, 700591, 25783.22, 0, 0.00, 1: 109; 2: 42; 3: 7; 
Lymphopoiesis_Regulatory_Network, 987, 11,  8,  214, 1, 3, 700416, 25783.22, 0, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 342,  9, 10,  214, 1, 3, 714278, 25783.22, 0, 0.00, 1: 110; 2: 40; 3: 8; 
Lymphopoiesis_Regulatory_Network, 589,  9, 10,  214, 1, 3, 714044, 25783.22, 0, 0.00, 1: 108; 2: 44; 3: 6; 
Lymphopoiesis_Regulatory_Network, 171,  8, 11,  214, 1, 3, 700429, 25783.22, 0, 0.00, 1: 108; 2: 44; 3: 6; 
Lymphopoiesis_Regulatory_Network, 725, 11,  8,  214, 1, 3, 700498, 25783.22, 0, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 169, 12,  7,  214, 1, 3, 668724, 25783.22, 0, 0.00, 1: 109; 2: 42; 3: 7; 
Lymphopoiesis_Regulatory_Network, 359,  8, 11,  214, 1, 3, 700424, 25783.22, 0, 0.00, 1: 106; 2: 48; 3: 4; 
Lymphopoiesis_Regulatory_Network, 380,  6, 15,  215, 1, 3, 714512, 25783.22, 16, 0.00, 1: 107; 2: 45; 3: 6; 
Lymphopoiesis_Regulatory_Network, 900,  8, 11,  215, 1, 3, 700473, 25783.22, 14, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 920,  7, 12,  215, 1, 3, 668743, 25783.22, 64, 0.00, 1: 105; 2: 49; 3: 4; 
Lymphopoiesis_Regulatory_Network, 554,  9,  9,  215, 1, 3, 644760, 25783.22, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network,  77,  9,  9,  215, 1, 3, 644760, 25783.22, 0, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 378,  7, 12,  215, 1, 3, 668744, 25783.22, 0, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 566,  8, 11,  215, 1, 3, 700273, 25783.22, 0, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 644,  9,  9,  215, 1, 3, 644760, 25783.22, 67, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 217,  8, 11,  215, 1, 3, 700423, 25783.22, 0, 0.00, 1: 107; 2: 45; 3: 6; 
Lymphopoiesis_Regulatory_Network,  65,  8, 11,  215, 1, 3, 700625, 25783.22, 0, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 980,  7, 13,  215, 1, 3, 721108, 25783.22, 18, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 851,  9, 10,  215, 1, 3, 714414, 25783.22, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network,  36,  6, 15,  215, 1, 3, 714598, 25783.22, 7, 0.00, 1: 110; 2: 39; 3: 9; 
Lymphopoiesis_Regulatory_Network, 428,  6, 15,  215, 1, 3, 714265, 25783.22, 68, 0.00, 1: 107; 2: 45; 3: 6; 
Lymphopoiesis_Regulatory_Network, 244,  7, 12,  215, 1, 3, 668781, 25783.22, 16, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 915,  6, 15,  215, 1, 3, 714518, 25783.22, 0, 0.00, 1: 110; 2: 39; 3: 9; 
Lymphopoiesis_Regulatory_Network, 661,  9, 10,  215, 1, 3, 714554, 25783.22, 0, 0.00, 1: 110; 2: 39; 3: 9; 
Lymphopoiesis_Regulatory_Network, 108,  6, 15,  215, 1, 3, 714084, 25783.22, 79, 0.00, 1: 110; 2: 39; 3: 9; 
Lymphopoiesis_Regulatory_Network, 445,  6, 14,  215, 1, 3, 668792, 25783.22, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 911, 12,  7,  215, 1, 3, 668725, 25783.22, 0, 0.00, 1: 107; 2: 45; 3: 6; 
Lymphopoiesis_Regulatory_Network, 599,  6, 15,  215, 1, 3, 714308, 25783.22, 0, 0.00, 1: 111; 2: 37; 3: 10; 
Lymphopoiesis_Regulatory_Network, 209,  8, 11,  215, 1, 3, 700615, 25783.22, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 283,  7, 13,  216, 1, 3, 720711, 25783.22, 0, 0.00, 1: 110; 2: 38; 3: 10; 
Lymphopoiesis_Regulatory_Network, 575,  8, 11,  216, 1, 3, 700463, 25783.22, 0, 0.00, 1: 111; 2: 36; 3: 11; 
Lymphopoiesis_Regulatory_Network, 629,  6, 16,  216, 1, 3, 748389, 25783.22, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 596,  9, 10,  216, 1, 3, 714415, 25783.22, 27, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 289,  7, 12,  216, 1, 3, 668713, 25783.22, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 119,  9, 10,  216, 1, 3, 714401, 25783.22, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 203,  7, 12,  216, 1, 3, 668745, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
