Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
723(536)
Lymphopoiesis_Regulatory_Network,  78,  9, 10,  200, 1, 3, 714378, 25754.62, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 374,  8, 11,  200, 1, 3, 700533, 25754.62, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 540,  9, 10,  200, 1, 3, 714445, 25754.62, 70, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 267, 11,  8,  200, 1, 3, 700410, 25754.62, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 854, 12,  7,  200, 1, 3, 668606, 25754.62, 0, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 345,  8, 11,  200, 1, 3, 700476, 25754.62, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 913,  7, 13,  200, 1, 3, 720949, 25754.62, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 248, 12,  7,  200, 1, 3, 668709, 25754.62, 18, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 641,  9, 10,  200, 1, 3, 714334, 25754.62, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 171,  8, 11,  200, 1, 3, 700579, 25754.62, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 120,  8, 11,  200, 1, 3, 700333, 25754.62, 10, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 400,  7, 13,  200, 1, 3, 720958, 25754.62, 27, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 863,  7, 12,  200, 1, 3, 668708, 25754.62, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 201, 11,  8,  200, 1, 3, 700565, 25754.62, 0, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 958,  6, 15,  200, 1, 3, 714553, 25754.62, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 441,  9, 10,  200, 1, 3, 714585, 25754.62, 0, 0.00, 1: 123; 2: 28; 3: 7; 
Lymphopoiesis_Regulatory_Network, 660,  9, 10,  200, 1, 3, 714514, 25754.62, 68, 0.00, 1: 123; 2: 28; 3: 7; 
Lymphopoiesis_Regulatory_Network, 612,  7, 13,  200, 1, 3, 720497, 25754.62, 59, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 953, 11,  8,  200, 1, 3, 700517, 25754.62, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 851,  9, 10,  200, 1, 3, 714395, 25754.62, 0, 0.00, 1: 119; 2: 36; 3: 3; 
