Seed 1656949570
ARCH 1|F_ID 2|LIMIT 6
before: 
306(1000)
macrophave_activation, 839, 17, 19,  893, 1, 6, 2600106, 75543.10, 0, 0.00, 1: 298; 2: 135; 3: 48; 4: 23; 5: 13; 6: 4; 
macrophave_activation, 699, 18, 18,  893, 1, 6, 2616157, 75543.10, 142, 0.00, 1: 305; 2: 128; 3: 45; 4: 26; 5: 9; 6: 8; 
macrophave_activation, 255, 17, 19,  893, 1, 6, 2600088, 75543.10, 0, 0.00, 1: 299; 2: 138; 3: 44; 4: 20; 5: 14; 6: 6; 
macrophave_activation, 289, 18, 18,  894, 1, 6, 2616132, 75543.10, 0, 0.00, 1: 297; 2: 137; 3: 44; 4: 28; 5: 11; 6: 4; 
macrophave_activation,  64, 17, 20,  894, 1, 6, 2757768, 75543.10, 211, 0.00, 1: 304; 2: 122; 3: 54; 4: 25; 5: 12; 6: 4; 
macrophave_activation, 678, 21, 16,  895, 1, 6, 2696031, 75543.10, 0, 0.00, 1: 300; 2: 133; 3: 45; 4: 24; 5: 16; 6: 3; 
macrophave_activation, 508, 18, 18,  895, 1, 6, 2616130, 75543.10, 200, 0.00, 1: 311; 2: 115; 3: 49; 4: 24; 5: 21; 6: 1; 
macrophave_activation,   8, 19, 17,  895, 1, 6, 2600098, 75543.10, 208, 0.00, 1: 298; 2: 132; 3: 55; 4: 19; 5: 10; 6: 7; 
macrophave_activation, 311, 15, 22,  895, 1, 6, 2657891, 75543.10, 0, 0.00, 1: 303; 2: 134; 3: 45; 4: 17; 5: 11; 6: 11; 
macrophave_activation, 221, 15, 22,  895, 1, 6, 2658144, 75543.10, 85, 0.00, 1: 290; 2: 144; 3: 46; 4: 29; 5: 9; 6: 3; 
macrophave_activation, 933, 17, 19,  895, 1, 6, 2600092, 75543.10, 0, 0.00, 1: 298; 2: 141; 3: 38; 4: 24; 5: 15; 6: 5; 
macrophave_activation, 260, 17, 20,  896, 1, 6, 2757511, 75543.10, 0, 0.00, 1: 308; 2: 126; 3: 41; 4: 23; 5: 17; 6: 6; 
macrophave_activation, 544, 17, 19,  896, 1, 6, 2600079, 75543.10, 213, 0.00, 1: 298; 2: 133; 3: 50; 4: 23; 5: 12; 6: 5; 
macrophave_activation, 760, 21, 16,  896, 1, 6, 2695985, 75543.10, 96, 0.00, 1: 294; 2: 143; 3: 38; 4: 33; 5: 8; 6: 5; 
macrophave_activation, 658, 16, 21,  896, 1, 6, 2695906, 75543.10, 0, 0.00, 1: 311; 2: 119; 3: 43; 4: 28; 5: 14; 6: 6; 
macrophave_activation, 694, 16, 21,  896, 1, 6, 2696250, 75543.10, 0, 0.00, 1: 304; 2: 117; 3: 57; 4: 30; 5: 11; 6: 2; 
macrophave_activation, 374, 14, 24,  896, 1, 6, 2696361, 75543.10, 0, 0.00, 1: 300; 2: 133; 3: 43; 4: 30; 5: 9; 6: 6; 
macrophave_activation, 612, 21, 16,  896, 1, 6, 2695981, 75543.10, 0, 0.00, 1: 304; 2: 123; 3: 51; 4: 25; 5: 15; 6: 3; 
macrophave_activation, 398, 13, 25,  897, 1, 6, 2632189, 75543.10, 0, 0.00, 1: 306; 2: 128; 3: 42; 4: 22; 5: 17; 6: 6; 
macrophave_activation,  50, 15, 22,  897, 1, 6, 2658252, 75543.10, 0, 0.00, 1: 305; 2: 119; 3: 55; 4: 26; 5: 11; 6: 5; 
macrophave_activation, 349, 17, 20,  897, 1, 6, 2757729, 75543.10, 85, 0.00, 1: 305; 2: 124; 3: 44; 4: 32; 5: 12; 6: 4; 
macrophave_activation, 889, 17, 20,  898, 1, 6, 2757254, 75543.10, 60, 0.00, 1: 313; 2: 119; 3: 40; 4: 24; 5: 19; 6: 6; 
macrophave_activation, 214, 14, 23,  898, 1, 6, 2635731, 75543.10, 0, 0.00, 1: 297; 2: 129; 3: 52; 4: 30; 5: 11; 6: 2; 
macrophave_activation, 273, 19, 17,  898, 1, 6, 2600092, 75543.10, 0, 0.00, 1: 303; 2: 126; 3: 46; 4: 27; 5: 17; 6: 2; 
macrophave_activation, 249, 17, 20,  898, 1, 6, 2757676, 75543.10, 55, 0.00, 1: 300; 2: 138; 3: 38; 4: 23; 5: 16; 6: 6; 
macrophave_activation, 174, 17, 20,  898, 1, 6, 2757636, 75543.10, 0, 0.00, 1: 299; 2: 138; 3: 43; 4: 19; 5: 14; 6: 8; 
macrophave_activation, 284, 16, 21,  898, 1, 6, 2696303, 75543.10, 200, 0.00, 1: 302; 2: 130; 3: 43; 4: 30; 5: 9; 6: 7; 
macrophave_activation, 592, 19, 17,  898, 1, 6, 2600104, 75543.10, 231, 0.00, 1: 302; 2: 130; 3: 47; 4: 21; 5: 15; 6: 6; 
