Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
IL-6_Signalling, 372,  8, 12,  203, 1, 3, 758948, 20184.74, 23, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 943,  8, 12,  203, 1, 3, 759827, 20184.74, 0, 0.00, 1: 105; 2: 34; 3: 10; 
IL-6_Signalling, 126,  9, 10,  203, 1, 3, 720384, 20184.74, 0, 0.00, 1: 103; 2: 38; 3: 8; 
IL-6_Signalling, 760,  8, 12,  203, 1, 3, 760108, 20184.74, 63, 0.00, 1: 98; 2: 48; 3: 3; 
IL-6_Signalling, 983,  9, 10,  203, 1, 3, 720132, 20184.74, 0, 0.00, 1: 101; 2: 42; 3: 6; 
IL-6_Signalling, 491,  9, 10,  203, 1, 3, 720462, 20184.74, 0, 0.00, 1: 99; 2: 46; 3: 4; 
IL-6_Signalling, 116, 11,  8,  203, 1, 3, 704352, 20184.74, 85, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 786, 10,  9,  203, 1, 3, 720394, 20184.74, 0, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling, 608,  8, 12,  203, 1, 3, 759676, 20184.74, 48, 0.00, 1: 104; 2: 36; 3: 9; 
IL-6_Signalling, 806,  9, 10,  203, 1, 3, 720383, 20184.74, 0, 0.00, 1: 103; 2: 38; 3: 8; 
IL-6_Signalling, 990,  8, 12,  203, 1, 3, 760351, 20184.74, 0, 0.00, 1: 100; 2: 44; 3: 5; 
IL-6_Signalling,  71,  8, 12,  204, 1, 3, 760251, 20184.74, 0, 0.00, 1: 101; 2: 41; 3: 7; 
IL-6_Signalling,  65,  7, 14,  204, 1, 3, 774278, 20184.74, 0, 0.00, 1: 103; 2: 37; 3: 9; 
IL-6_Signalling, 512,  8, 12,  204, 1, 3, 759539, 20184.74, 40, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 152, 10,  9,  204, 1, 3, 719856, 20184.74, 10, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling, 480,  9, 10,  204, 1, 3, 720430, 20184.74, 38, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling, 329,  7, 13,  204, 1, 3, 727660, 20184.74, 0, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling, 718,  7, 14,  204, 1, 3, 774800, 20184.74, 0, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 306,  7, 14,  204, 1, 3, 775410, 20184.74, 0, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling,  52,  8, 12,  204, 1, 3, 759948, 20184.74, 5, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 703, 11,  8,  204, 1, 3, 704352, 20184.74, 0, 0.00, 1: 103; 2: 37; 3: 9; 
