Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
103(477)
Lymphopoiesis_Regulatory_Network,  62,  9, 10,  200, 1, 3, 714822, 20467.92, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 237,  7, 12,  200, 1, 3, 668625, 20467.92, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 121,  6, 15,  200, 1, 3, 714525, 20467.92, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 123,  9, 10,  200, 1, 3, 714410, 20467.92, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 145,  7, 13,  200, 1, 3, 721406, 20467.92, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 630,  9, 10,  200, 1, 3, 714399, 20467.92, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 796,  7, 13,  200, 1, 3, 720960, 20467.92, 18, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 584,  9, 10,  200, 1, 3, 714380, 20467.92, 49, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 767,  9, 10,  200, 1, 3, 714485, 20467.92, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 731,  7, 13,  200, 1, 3, 720309, 20467.92, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 266,  8, 11,  200, 1, 3, 700663, 20467.92, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 589,  9, 10,  200, 1, 3, 714515, 20467.92, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 619,  7, 13,  200, 1, 3, 720807, 20467.92, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 296,  6, 16,  200, 1, 3, 748458, 20467.92, 18, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 667,  7, 12,  200, 1, 3, 668842, 20467.92, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 622,  9, 10,  200, 1, 3, 714811, 20467.92, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 339,  6, 16,  200, 1, 3, 748366, 20467.92, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network,  38,  9, 10,  200, 1, 3, 714654, 20467.92, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 976,  9, 10,  200, 1, 3, 714698, 20467.92, 68, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network,  37,  9, 10,  200, 1, 3, 713761, 20467.92, 0, 0.00, 1: 120; 2: 34; 3: 4; 
Lymphopoiesis_Regulatory_Network, 938, 12,  7,  200, 1, 3, 668731, 20467.92, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 967,  7, 12,  200, 1, 3, 668851, 20467.92, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 824, 11,  8,  201, 1, 3, 700693, 20467.92, 61, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 346,  7, 13,  201, 1, 3, 721447, 20467.92, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 150,  7, 12,  201, 1, 3, 668763, 20467.92, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 903,  7, 12,  201, 1, 3, 668747, 20467.92, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 436,  7, 12,  201, 1, 3, 668826, 20467.92, 32, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 738,  8, 11,  201, 1, 3, 700680, 20467.92, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network,  86, 11,  8,  201, 1, 3, 700135, 20467.92, 0, 0.00, 1: 122; 2: 29; 3: 7; 
Lymphopoiesis_Regulatory_Network,  24,  9,  9,  201, 1, 3, 644760, 20467.92, 240, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 961,  7, 13,  201, 1, 3, 720819, 20467.92, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 972,  7, 12,  201, 1, 3, 668491, 20467.92, 66, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 894, 11,  8,  201, 1, 3, 700380, 20467.92, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 580,  8, 11,  201, 1, 3, 700718, 20467.92, 49, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 387,  7, 13,  201, 1, 3, 720829, 20467.92, 0, 0.00, 1: 123; 2: 27; 3: 8; 
Lymphopoiesis_Regulatory_Network, 889,  9, 10,  201, 1, 3, 714912, 20467.92, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 892,  8, 11,  201, 1, 3, 700528, 20467.92, 10, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 829,  7, 13,  201, 1, 3, 720712, 20467.92, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 181, 11,  8,  201, 1, 3, 700738, 20467.92, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 994,  9, 10,  201, 1, 3, 714716, 20467.92, 0, 0.00, 1: 121; 2: 31; 3: 6; 
