Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
153(237)
Lymphopoiesis_Regulatory_Network, 165,  6, 15,  214, 1, 3, 714641, 20443.05, 0, 0.00, 1: 108; 2: 44; 3: 6; 
Lymphopoiesis_Regulatory_Network, 756,  7, 13,  214, 1, 3, 720885, 20443.05, 16, 0.00, 1: 109; 2: 42; 3: 7; 
Lymphopoiesis_Regulatory_Network, 954,  9, 10,  214, 1, 3, 714526, 20443.05, 0, 0.00, 1: 108; 2: 44; 3: 6; 
Lymphopoiesis_Regulatory_Network, 272,  7, 12,  214, 1, 3, 668827, 20443.05, 18, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 542, 12,  7,  214, 1, 3, 668802, 20443.05, 0, 0.00, 1: 105; 2: 50; 3: 3; 
Lymphopoiesis_Regulatory_Network, 959,  8, 11,  214, 1, 3, 700452, 20443.05, 0, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 594, 11,  8,  214, 1, 3, 700816, 20443.05, 0, 0.00, 1: 107; 2: 46; 3: 5; 
Lymphopoiesis_Regulatory_Network, 589,  9, 10,  214, 1, 3, 714745, 20443.05, 0, 0.00, 1: 112; 2: 36; 3: 10; 
Lymphopoiesis_Regulatory_Network, 579, 11,  8,  215, 1, 3, 700562, 20443.05, 0, 0.00, 1: 104; 2: 51; 3: 3; 
Lymphopoiesis_Regulatory_Network, 558, 11,  8,  215, 1, 3, 700505, 20443.05, 0, 0.00, 1: 112; 2: 35; 3: 11; 
Lymphopoiesis_Regulatory_Network, 129,  9, 10,  215, 1, 3, 714201, 20443.05, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 405,  7, 13,  215, 1, 3, 720676, 20443.05, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 201, 11,  8,  215, 1, 3, 700488, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 617, 12,  7,  215, 1, 3, 668854, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 597,  7, 13,  215, 1, 3, 721365, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 811,  6, 16,  215, 1, 3, 747926, 20443.05, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 183,  9, 10,  215, 1, 3, 714416, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
