Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(589)
Melhor resultado nxn: IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling,  13, 10,  9,  291, 1, 4, 720378, 62553.50, 127, 0.00, 1: 48; 2: 63; 3: 35; 4: 3; 
IL-6_Signalling, 204,  7, 13,  291, 1, 4, 727834, 62553.50, 86, 0.00, 1: 49; 2: 63; 3: 32; 4: 5; 
IL-6_Signalling, 171,  8, 12,  291, 1, 4, 760050, 62553.50, 0, 0.00, 1: 55; 2: 53; 3: 34; 4: 7; 
IL-6_Signalling,   7,  9, 10,  291, 1, 4, 720348, 62553.50, 0, 0.00, 1: 50; 2: 60; 3: 35; 4: 4; 
IL-6_Signalling, 713,  9, 10,  292, 1, 4, 720348, 62553.50, 0, 0.00, 1: 51; 2: 56; 3: 39; 4: 3; 
IL-6_Signalling, 593, 11,  8,  292, 1, 4, 704352, 62553.50, 0, 0.00, 1: 46; 2: 65; 3: 36; 4: 2; 
IL-6_Signalling, 950,  8, 12,  292, 1, 4, 760023, 62553.50, 0, 0.00, 1: 48; 2: 62; 3: 36; 4: 3; 
IL-6_Signalling, 324,  9, 10,  292, 1, 4, 720353, 62553.50, 32, 0.00, 1: 50; 2: 60; 3: 34; 4: 5; 
IL-6_Signalling,  94, 11,  8,  292, 1, 4, 704352, 62553.50, 0, 0.00, 1: 51; 2: 59; 3: 33; 4: 6; 
IL-6_Signalling, 735, 11,  8,  292, 1, 4, 704352, 62553.50, 0, 0.00, 1: 47; 2: 65; 3: 33; 4: 4; 
IL-6_Signalling, 510,  9, 10,  292, 1, 4, 720353, 62553.50, 0, 0.00, 1: 49; 2: 60; 3: 37; 4: 3; 
IL-6_Signalling,   9,  9, 10,  293, 1, 4, 720338, 62553.50, 207, 0.00, 1: 50; 2: 59; 3: 35; 4: 5; 
IL-6_Signalling, 487,  8, 12,  293, 1, 4, 760040, 62553.50, 0, 0.00, 1: 49; 2: 61; 3: 34; 4: 5; 
