Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(850)
Melhor resultado nxn: Apoptosis_network, 383,  5, 10,   84, 1, 2, 383475, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 376,  5,  9,   86, 1, 2, 353276, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 832,  7,  6,   86, 1, 2, 330624, 22668.48, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 305,  5,  9,   86, 1, 2, 353325, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 363,  5, 10,   86, 1, 2, 383973, 22668.48, 68, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  32,  6,  8,   86, 1, 2, 371869, 22668.48, 5, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 339,  6,  8,   86, 1, 2, 372013, 22668.48, 21, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 295,  6,  8,   86, 1, 2, 371993, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 375,  6,  7,   86, 1, 2, 330624, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  37,  6,  8,   86, 1, 2, 371691, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 780,  6,  8,   86, 1, 2, 372018, 22668.48, 217, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  13,  7,  6,   86, 1, 2, 330624, 22668.48, 127, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 835,  9,  5,   86, 1, 2, 353191, 22668.48, 21, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 776,  5, 10,   86, 1, 2, 383948, 22668.48, 224, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 775,  9,  5,   86, 1, 2, 353318, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  41,  5, 10,   86, 1, 2, 384411, 22668.48, 65, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 390,  9,  5,   86, 1, 2, 353412, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 862,  6,  8,   86, 1, 2, 371887, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 825,  5, 10,   86, 1, 2, 384101, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 382,  6,  8,   86, 1, 2, 372107, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 824,  5, 10,   86, 1, 2, 384204, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 840,  6,  8,   86, 1, 2, 372272, 22668.48, 48, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 325,  5, 10,   86, 1, 2, 384288, 22668.48, 85, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 865,  5,  9,   86, 1, 2, 353362, 22668.48, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 857,  5,  9,   86, 1, 2, 353308, 22668.48, 185, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 929,  9,  5,   87, 1, 2, 353483, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 510,  4, 11,   87, 1, 2, 346006, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 964,  6,  7,   87, 1, 2, 330624, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 927,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 926,  5, 10,   87, 1, 2, 383541, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 164,  6,  8,   87, 1, 2, 372062, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 317,  5,  9,   87, 1, 2, 353274, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 962,  4, 12,   87, 1, 2, 372103, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 251,  5,  9,   87, 1, 2, 353357, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 511,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 514,  6,  8,   87, 1, 2, 371684, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 515,  4, 12,   87, 1, 2, 372170, 22668.48, 21, 0.00, 1: 59; 2: 14; 
