Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
3(614)
Apoptosis_network,  73,  5,  9,  115, 1, 3, 353272, 23851.12, 205, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 352,  7,  6,  115, 1, 3, 330624, 23851.12, 5, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 375,  6,  7,  115, 1, 3, 330624, 23851.12, 0, 0.00, 1: 36; 2: 32; 3: 5; 
Apoptosis_network, 359,  6,  7,  115, 1, 3, 330624, 23851.12, 0, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 564,  6,  8,  115, 1, 3, 372052, 23851.12, 255, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 853,  6,  8,  115, 1, 3, 372095, 23851.12, 85, 0.00, 1: 34; 2: 36; 3: 3; 
Apoptosis_network, 884,  7,  6,  115, 1, 3, 330624, 23851.12, 33, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 887,  7,  6,  115, 1, 3, 330624, 23851.12, 0, 0.00, 1: 37; 2: 30; 3: 6; 
Apoptosis_network, 812,  5, 10,  115, 1, 3, 384055, 23851.12, 56, 0.00, 1: 37; 2: 30; 3: 6; 
Apoptosis_network, 800,  6,  7,  115, 1, 3, 330624, 23851.12, 6, 0.00, 1: 39; 2: 26; 3: 8; 
Apoptosis_network, 909,  6,  8,  115, 1, 3, 371870, 23851.12, 85, 0.00, 1: 38; 2: 28; 3: 7; 
Apoptosis_network, 770,  6,  8,  115, 1, 3, 371928, 23851.12, 86, 0.00, 1: 38; 2: 28; 3: 7; 
Apoptosis_network,  32,  6,  8,  115, 1, 3, 372013, 23851.12, 5, 0.00, 1: 37; 2: 30; 3: 6; 
Apoptosis_network, 914,  6,  8,  115, 1, 3, 371993, 23851.12, 86, 0.00, 1: 41; 2: 22; 3: 10; 
Apoptosis_network, 697,  5,  9,  115, 1, 3, 353209, 23851.12, 0, 0.00, 1: 40; 2: 24; 3: 9; 
Apoptosis_network, 695,  6,  8,  115, 1, 3, 372018, 23851.12, 0, 0.00, 1: 35; 2: 34; 3: 4; 
Apoptosis_network, 651,  5, 10,  115, 1, 3, 384034, 23851.12, 10, 0.00, 1: 40; 2: 24; 3: 9; 
Apoptosis_network, 637,  5,  9,  115, 1, 3, 353260, 23851.12, 0, 0.00, 1: 36; 2: 32; 3: 5; 
Apoptosis_network, 591,  5, 10,  115, 1, 3, 384266, 23851.12, 0, 0.00, 1: 37; 2: 30; 3: 6; 
Apoptosis_network, 572,  7,  6,  115, 1, 3, 330624, 23851.12, 1, 0.00, 1: 38; 2: 28; 3: 7; 
Apoptosis_network, 571,  6,  8,  115, 1, 3, 371834, 23851.12, 0, 0.00, 1: 38; 2: 28; 3: 7; 
Apoptosis_network, 262,  5,  9,  116, 1, 3, 353261, 23851.12, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 294,  4, 12,  116, 1, 3, 372067, 23851.12, 0, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 980,  6,  7,  116, 1, 3, 330624, 23851.12, 183, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 867,  5,  9,  116, 1, 3, 353279, 23851.12, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 552,  9,  5,  116, 1, 3, 353209, 23851.12, 32, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 287,  9,  5,  116, 1, 3, 353226, 23851.12, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 127,  5,  9,  116, 1, 3, 353238, 23851.12, 0, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 277,  5, 10,  116, 1, 3, 384205, 23851.12, 85, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 978,  5,  9,  116, 1, 3, 353260, 23851.12, 86, 0.00, 1: 39; 2: 25; 3: 9; 
