Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(698)
Melhor resultado nxn: Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 269,  5, 10,   92, 1, 2, 384020, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 399,  7,  6,   92, 1, 2, 330624, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 786,  6,  7,   92, 1, 2, 330624, 23464.91, 36, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 221,  7,  6,   92, 1, 2, 330624, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 789,  5,  9,   92, 1, 2, 352945, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 807,  5,  9,   92, 1, 2, 352993, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 388,  6,  8,   92, 1, 2, 371510, 23464.91, 111, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 671,  5,  9,   92, 1, 2, 353304, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 845,  6,  8,   92, 1, 2, 372203, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 383,  5, 10,   92, 1, 2, 383599, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 607,  6,  8,   92, 1, 2, 371981, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 693,  5,  9,   92, 1, 2, 353195, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 443,  4, 12,   92, 1, 2, 371854, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 369,  6,  8,   92, 1, 2, 371996, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 419,  9,  5,   92, 1, 2, 353332, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 885,  9,  5,   92, 1, 2, 353041, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 992,  5, 10,   92, 1, 2, 384126, 23464.91, 6, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 579,  6,  8,   92, 1, 2, 372037, 23464.91, 212, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 609,  6,  7,   92, 1, 2, 330624, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 171,  9,  5,   92, 1, 2, 353082, 23464.91, 67, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 355,  6,  8,   92, 1, 2, 372052, 23464.91, 0, 0.00, 1: 54; 2: 19; 
